Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- - C -,,2002173939,Gonzalo Zapater,Fairly Loyal,17,D/WB/M (L),Left,"5'8""",-,Constància,Spanish Federation Third Group 11,€300 p/w,30/6/2026,€1K - €8K,13,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.00,-,-,-,-,-,-,0,-,-,-,0,65%,20,-,13,-,-,-,0,-,0,-,0,-,0,-,-,0,-,-,-,-,100%,1,1,-,0,0,0,0,0,0,0,M (L),-,-,-,-,-
- - C- -,,2000304457,Charlie Young,Balanced,19,GK,Right,"6'1""",N/A,Hungerford,Vanarama National League South,€70 p/w,30/6/2026,€0,230,0.78,1.57,0.00,0.00,-,0.00,0.00,0,4,-,0.00,0.00,0,-,0,2,-,-,-,9.00,-,-,-,-,12.6km,4.9km,-,-0.28,0.00,-0.72,93%,-,-,0.00,-,1,0.39,-,0.00,0,47%,57,22.30,27,10.57,12.91,1.96,0,0.00,0,0.00,0,0.00,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,2,63%,2,4,1
- - A -,FrA,2000199175,Callum Yam,Fairly Determined,19,GK,Right,"6'0""",€325 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- - B -,,28080370,Ben Wyatt,Balanced,29,D/WB (L),Left Only,"5'7""",€425 p/w,Connah's Quay,JD Cymru Premier,€210 p/w,30/6/2026,€0,118,-,-,0.14,0.19,-,-0.02,0.02,0,-,-,0.02,0.02,-,-,0,-,6.10,-,-,0.00,-,6.10,12%,0.76,17.4km,13.3km,0.76,-,0.02,-,-,2.29,3.81,13.73,63%,0,-,5,0.00,1,95%,55,41.95,52,39.66,13.73,5.34,12,9.15,2,1.53,6,4.58,1,0,0.76,0,0.00,0.00,0%,0.76,100%,3,3,2.29,0,1,8,0,0,8,0,D (L),-,-,-,-,-
- - B- -,,95031026,Max Wright,Balanced,27,WB/M/AM (R),Right,"5'8""",-,Guiseley,English Northern Premier League Premier Division,€600 p/w,30/6/2026,€0 - €75K,589,-,-,0.09,0.58,589.00,-1.56,0.39,1,-,0.15,2.56,0.39,-,-,0,-,4.58,0.15,-,0.61,8%,3.06,10%,0.31,57.2km,8.7km,1.07,-,0.21,-,-,3.97,0.61,7.33,13%,4,0.61,4,0.00,3,84%,176,26.89,147,22.46,11.46,0.76,44,6.72,7,1.07,9,1.38,12,2,0.15,0,0.00,0.31,17%,1.83,67%,9,6,0.92,2,7,20,4,0,30,0,AM (R),-,-,-,-,-
- - A+ -,,2000141362,Terrell Works,Resolute,21,"AM (RLC), ST (C)",Right,"6'1""",€650 p/w,Weymouth,Vanarama National League South,€350 p/w,30/6/2026,€0 - €28K,"2,727",-,-,0.13,3.90,454.50,0.14,0.19,6,-,0.20,5.86,0.19,-,-,0,-,6.37,0.13,0.30,0.99,11%,5.97,12%,0.73,385.5km,12.7km,2.54,-,0.10,-,-,4.92,1.45,12.28,23%,44,1.45,44,0.00,37,88%,"1,055",34.82,925,30.53,18.61,3.30,290,9.57,81,2.67,70,2.31,56,25,0.50,0,0.00,0.83,45%,1.85,94%,67,63,2.08,13,77,181,30,9,193,1,AM (R),-,-,-,-,-
- - A- -,Inj,29217550,Nathan Woodthorpe,Professional,24,D (L),Left Only,"5'10""",€600 p/w,Nantwich,English Northern Premier League Division One West,€350 p/w,30/6/2026,€0 - €30K,"2,520",-,-,0.00,0.00,"1,260.00",0.45,0.06,2,-,0.07,1.55,0.06,-,-,0,-,-,0.07,-,0.00,13%,0.00,-,0.00,0.0km,0.0km,-,-,0.10,-,-,-,-,0.00,-,0,-,-,0.00,0,70%,560,20.00,390,13.93,0.00,0.00,0,0.00,0,0.00,0,0.00,15,6,0.00,0,0.00,0.21,40%,0.54,97%,60,58,2.07,0,0,0,0,0,0,0,D (L),-,-,-,-,-
- - B -,FrA,89044950,Connor Wood,,29,D/WB (L),Left,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- - B- -,,29217135,Charlie Winfield,Balanced,23,"D/WB (L), M (LC)",Left,"5'7""",-,Warrington,Vanarama National League North,€325 p/w,30/6/2026,Unknown,"3,118",-,-,0.23,7.81,"3,118.00",0.15,0.02,1,-,0.03,0.85,0.02,-,-,0,-,4.42,0.14,0.72,1.62,7%,3.98,21%,0.81,430.7km,12.4km,1.53,-,0.06,-,-,2.45,1.96,10.36,44%,72,2.08,68,0.14,60,80%,"1,579",45.58,"1,270",36.66,12.93,10.97,197,5.69,70,2.02,200,5.77,14,4,0.38,9,0.26,0.12,29%,0.40,82%,118,97,2.80,1,53,138,56,25,153,1,M (C),-,-,-,-,-
- - D -,FrA,94051841,Owen Windsor,,24,"AM (R), ST (C)",Left,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
