club,division,possession
Blyth,Vanarama National League North,65
South Shields,Vanarama National League North,59
Scunthorpe,Vanarama National League North,59
Chester,Vanarama National League North,56
Boston Utd,Vanarama National League North,54
Chorley,Vanarama National League North,53
Darlington,Vanarama National League North,51
Peterborough Sports,Vanarama National League North,50
Scarborough Athletic,Vanarama National League North,50
Brackley,Vanarama National League North,49
Spennymoor,Vanarama National League North,49
Tamworth,Vanarama National League North,48
Gloucester,Vanarama National League North,48
Farsley,Vanarama National League North,47
King's Lynn,Vanarama National League North,46
Buxton,Vanarama National League North,46
Warrington,Vanarama National League North,46
Hereford,Vanarama National League North,46
Rushall,Vanarama National League North,45
Bishop's Stortford,Vanarama National League North,45
Curzon Ashton,Vanarama National League North,44
Banbury,Vanarama National League North,44
Alfreton,Vanarama National League North,44
Southport,Vanarama National League North,43
Yeovil,Vanarama National League South,57
Torquay,Vanarama National League South,54
Havant & W,Vanarama National League South,54
Hampton & Richmond,Vanarama National League South,53
Farnborough,Vanarama National League South,53
Worthing,Vanarama National League South,53
Chelmsford,Vanarama National League South,52
Eastbourne Borough,Vanarama National League South,52
Weymouth,Vanarama National League South,51
Truro,Vanarama National League South,51
Hemel Hempstead,Vanarama National League South,50
Dartford,Vanarama National League South,50
Braintree,Vanarama National League South,50
Weston-super-Mare,Vanarama National League South,49
Tonbridge,Vanarama National League South,48
Bath City,Vanarama National League South,47
Dover,Vanarama National League South,47
Welling,Vanarama National League South,46
Taunton,Vanarama National League South,46
Aveley,Vanarama National League South,46
Slough,Vanarama National League South,45
Chippenham,Vanarama National League South,45
Maidstone,Vanarama National League South,44
St. Albans,Vanarama National League South,44
