Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,,Reece Trueman,Wales (JD Cymru Premier),Bala,JD Cymru Premier,30/6/2027,€60 p/w,21,"6'2""",,Unknown,2000122128,-,N/A,N/A,1,0.96,0.96,0.00,0.00,0.00,0.00,0,1,-,94,0.00,0.00,0,0,0,-,0,-,1.91,1,0.96,3,0.00,-,0,-,8.62,-,-,-,-,-,-,2.8km,2.7km,0,-,0.00,0.53,0.51,85%,GK,-,-,-,-,-,-,-,0.00,0,-,0,60%,20,19.15,12,11.49,4.79,2.87,0,0.00,0,0.00,0,0.00,80%,1,2,1,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- - A -,,Harley Price,England (Vanarama North),Boston Utd,Vanarama National League North,30/6/2027,€200 p/w,19,"6'2""",Balanced,Right,2000275112,GK,N/A,N/A,1,1.00,0.00,0.00,0.00,0.00,0.00,0,0,-,90,0.00,0.00,0,0,0,-,0,-,2.00,0,0.00,2,0.00,-,0,-,8.00,-,-,-,-,-,-,3.8km,3.8km,0,-,0.00,0.33,0.33,89%,GK,-,-,-,-,-,-,-,0.00,0,-,0,92%,24,24.00,22,22.00,9.00,4.00,0,0.00,0,0.00,0,0.00,100%,0,0,2,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,,Reece Thompson,Wales (JD Cymru Premier),Flint Town,JD Cymru Premier,30/6/2029,€300 p/w,22,"6'1""",,Unknown,2000135375,-,N/A,N/A,4,0.14,1.47,0.00,0.00,0.00,0.00,0,43,-,"2,636",0.00,0.00,0,2,1,50%,0,-,0.51,43,1.47,3,0.00,-,0,-,8.40,-,-,-,-,-,-,137.1km,4.7km,0,-,0.00,6.29,0.21,88%,GK,-,-,-,-,-,-,-,0.00,0,-,0,50%,663,22.64,331,11.30,8.30,5.63,0,0.00,0,0.00,0,0.00,72%,27,63,18,0,-,-,-,-,-,-,-,50%,2,1,0.03,0.03,1,-,-,-,-,-,0,0.00,0,0.24,7,0.00,-,-,-,-
- - A- -,Ctr,Adam Khan,England (Northern Premier League),Darlington,English Northern Premier League Premier Division,-,N/A,21,"6'0""",Fairly Determined,Right,2000191714,GK,N/A,N/A,4,0.77,1.16,0.00,0.00,0.00,0.00,0,6,-,467,0.00,0.00,0,1,0,0%,0,-,0.58,4,0.77,1,0.00,-,0,-,7.71,-,-,-,-,-,-,23.4km,4.5km,0,-,0.00,0.89,0.17,90%,GK,-,-,-,-,-,-,-,0.00,0,-,0,48%,124,23.90,60,11.56,4.63,2.70,0,0.00,0,0.00,0,0.00,69%,1,6,2,0,-,-,-,-,-,-,-,0%,1,0,0.00,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Yth,Karl Hooper,England (Vanarama South),Woking,Vanarama National League South,30/6/2027,€6 p/w,18,"5'10""",,Unknown,2002176539,GK,N/A,N/A,0,0.00,1.20,0.00,0.00,0.00,0.00,0,1,-,75,0.00,0.00,0,0,0,-,0,-,1.20,1,1.20,-,0.00,-,0,-,2.40,-,-,-,-,-,-,5.7km,0.0km,0,-,0.00,0.12,0.14,90%,GK,-,-,-,-,-,-,-,0.00,0,-,0,94%,18,21.60,17,20.40,8.40,0.00,0,0.00,0,0.00,0,0.00,0%,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- - B+ -,,Josh Shattell,England (Vanarama North),AFC Telford,Vanarama National League North,30/6/2027,€160 p/w,20,"6'3""",Resolute,Right,2000192697,GK,N/A,N/A,2,0.22,1.44,0.12,0.01,0.00,0.00,0,13,-,810,0.00,0.00,0,4,0,0%,0,-,2.56,13,1.44,3,0.00,-,0,-,7.33,-,-,-,-,-,-,38.9km,4.3km,0,-,0.00,1.20,0.13,78%,GK,-,-,-,-,-,-,-,0.00,4,0.44,0,35%,157,17.44,55,6.11,12.89,7.44,0,0.00,0,0.00,18,2.00,76%,14,11,8,0,-,-,-,-,-,-,-,0%,4,0,0.00,0.11,1,-,-,-,-,-,0,0.00,0,0.11,1,0.00,-,-,-,-
- - A -,Ask,Daniel Cameron,England (Northern Premier League),Darlington,English Northern Premier League Premier Division,30/6/2027,€575 p/w,21,"6'4""",Fairly Determined,Left,2000144009,GK,€525 p/w,€725 p/w,8,0.20,1.30,0.00,0.00,0.00,0.00,0,53,-,"3,664",0.00,0.00,0,4,1,25%,0,-,1.15,52,1.28,2,0.00,-,0,-,8.94,-,-,-,-,-,-,172.5km,4.2km,0,-,0.00,0.85,0.02,90%,GK,-,-,-,-,-,-,-,0.00,2,0.05,0,61%,818,20.09,495,12.16,5.53,4.86,0,0.00,0,0.00,0,0.00,70%,34,69,19,0,-,-,-,-,-,-,-,25%,4,1,0.02,0.00,0,-,-,-,-,-,0,0.00,0,0.05,2,0.00,-,-,-,-
- -  -,Ctr,Rylee Mitchell,England (Vanarama North),Macclesfield,Vanarama National League North,-,N/A,21,"6'4""",,Unknown,2000228498,GK,N/A,N/A,7,0.15,1.82,0.00,0.00,0.00,0.00,0,83,-,"4,101",0.00,0.00,0,17,4,24%,0,-,1.05,83,1.82,4,0.00,-,0,-,10.58,-,-,-,-,-,-,185.4km,4.1km,0,-,0.00,0.42,0.01,81%,GK,-,-,-,-,-,-,-,0.20,23,0.50,0,39%,"1,051",23.07,411,9.02,16.50,9.04,0,0.00,0,0.00,51,1.12,74%,89,77,37,0,-,-,-,-,-,-,-,24%,17,4,0.09,0.02,1,-,-,-,-,-,2,0.02,1,0.02,1,0.00,-,-,-,-
- -  -,Lst,Aaron Amadi-Holloway,England (Vanarama South),Hemel Hempstead,Vanarama National League South,30/6/2027,€55 p/w,34,"6'2""",,Unknown,28047901,D (C),N/A,N/A,-,-,-,0.85,0.06,-1.03,0.07,0,-,-,"1,390",1.03,0.07,0,-,-,-,0,-,0.84,-,1.42,-,1.03,0.39,6,23,1.49,-,-,0,0.00,0,0.00,173.7km,11.2km,0,-,0.11,-,-,-,D (C),8,0.52,0.13,2.85,76,4.92,63%,4.27,18,1.17,0,86%,846,54.78,731,47.33,4.53,10.62,38,2.46,12,0.78,51,3.30,-,-,-,-,9,13,0.84,0.32,1,0.06,11%,0.58,86%,14,12,0.78,0.32,5,0.00,0,0.00,0,-,0,0.06,1,0.32,5,0.52,0,0,7.77,120
- -  -,,Jordan Slew,England (Vanarama North),Spennymoor,Vanarama National League North,30/6/2027,€325 p/w,34,"6'2""",,Unknown,28049741,ST (C),N/A,N/A,-,-,-,2.03,0.13,-0.90,0.31,4,-,0.25,"1,437",4.11,0.26,1,-,-,-,1,100%,1.88,-,1.38,-,4.90,0.31,5,16,1.00,12%,14%,61,3.82,9,0.56,214.1km,13.4km,45,2.82,0.15,-,-,-,"AM (L), ST (C)",5,0.31,0.13,3.88,64,4.01,51%,13.65,18,1.13,10,77%,514,32.19,397,24.86,13.53,7.83,173,10.84,52,3.26,62,3.88,-,-,-,-,33,0,0.00,0.50,12,0.75,36%,2.07,92%,38,35,2.19,1.19,19,0.56,9,3.82,61,15%,0,0.00,0,1.19,19,0.06,0,1,7.89,126
