UID,Name,Pas %,xA/90,Poss Lost/90
29163844,Nathan Tshikuna,85%,0.11,8.89
29151021,Cameron Salkeld,85%,0.2,14.4
215477,Alex Babos,84%,0.15,10.8
28124744,Cardo Siddik,85%,0.01,9.0
29223278,Kieran Coates,81%,0.17,19.97
29139669,Dan Turner,88%,0.12,9.1
28025272,Ben Milnes,87%,0.16,8.5
29139894,Connor Johnson,80%,0.05,9.02
31034672,Kyran Clements,84%,0.02,9.2
28100474,Jack Evans,87%,0.08,8.31
90070191,Simeon Maye,87%,0.03,5.3
28100548,Kyle Howkins,82%,0.04,8.62
29194271,Tom Leak,87%,0.06,8.53
2000219406,Ashton Fox,82%,0.04,9.64
29158250,Harvey Smith,84%,0.03,9.69
29176525,Max Hunt,83%,0.05,8.09
61064263,Michael Kelly,84%,0.1,11.47
222823,Tai Fleming,83%,0.01,9.39
2000141112,Will Armitage,92%,0.01,6.04
28093200,Keenan Quansah,83%,0.03,10.07
2000056887,Seydil TourÃ©,85%,0.01,4.96
28124743,Dan Quick,85%,0.03,4.01
57149460,Moses Makinde,85%,0.04,12.92
29023464,Aarran Racine,86%,0.04,4.1
29161623,Adam Lund,83%,0.08,11.31
90057700,Jamie Willets,80%,0.05,10.68
29233180,Brooklyn Kabongolo,81%,0.01,5.54
28028403,Conor Branson,85%,0.09,8.7
2000022079,Ethan Sutcliffe,90%,0.06,7.18
29235898,Ronny Nelson,86%,0.02,4.73
28049315,Zaine Francis-Angol,84%,0.13,11.49
2000273981,Emmanuel Harvest,85%,0.04,8.77
29146151,Maxim Kouogun,85%,0.08,9.61
52070952,Gary Boylan,84%,0.05,13.14
29219122,Jalil Saadi,83%,0.04,3.16
2000211483,Aaron Harper-Bailey,85%,0.03,7.81
2000192553,Charlie Stallard,87%,0.01,3.91
28095453,Liam Edwards,87%,0.02,8.59
2000108352,Charlie Hayes-Green,85%,0.08,10.71
29111157,Alex Finney,82%,0.03,4.94
29128545,Kyron Farrell,81%,0.1,13.68
2000120904,George Milner-Smith,86%,0.04,3.5
29132088,Adam Anson,80%,0.04,8.84
28094135,Evan Gumbs,80%,0.02,10.13
29023545,Shaun Brisley,81%,0.01,8.3
31042036,Baris Altintop,87%,0.06,4.84
2000255196,Jet Dyer,87%,0.08,8.54
29159369,Jordon Thompson,83%,0.02,5.15
5113683,Connell Rawlinson,80%,0.03,2.61
31035171,Jacob Mensah,81%,0.03,4.83
2000239586,Finlay Heath,84%,0.07,8.47
29128162,Bailey Gooda,87%,0.02,7.38
2000053510,Jay Haddow,79%,0.17,13.87
2000192695,Keilen Robinson,85%,0.08,9.42
2000187733,Fuad Adeniyi,81%,0.03,3.94
29072743,Zak Mills,82%,0.23,20.57
2000106511,George Abbott,89%,0.02,6.13
90083933,Morgan Williams,83%,0.04,8.35
2000140692,Raphael Araoye,86%,0.05,3.79
28106284,Jalen Jones,82%,0.06,4.17
29141826,Sam Bone,85%,0.23,12.28
29233208,Kacper GruszczyÅski,81%,0.19,13.77
2000075967,Alex Touche,89%,0.09,6.55
29006267,Andrew Boyce,87%,0.04,9.42
28106570,Louis Hall,81%,0.14,13.89
28110490,Scott Wilson,86%,0.08,9.51
2000143990,Louis Hutchings,81%,0.02,8.89
2000144013,Zak Johnson,91%,0.03,7.24
2000140700,Jamie Knight-Lebel,83%,0.09,9.65
29234385,Luis Fernandez,82%,0.07,4.69
29193987,Keenan Ferguson,83%,0.22,12.48
90075628,Matt Curley,82%,0.17,13.53
2000142139,Bayley McCann,88%,0.11,9.79
2000260847,Lewis Hudson,82%,0.1,12.65
29173563,Ross Marshall,83%,0.01,4.08
2000108239,Oscar Halls,85%,0.04,3.91
29003821,Mark Ellis,85%,0.01,8.95
29217916,Duncan Idehen,81%,0.08,5.08
2000140865,James Leonard,86%,0.0,7.14
2000044172,Aidan Coyne,84%,0.05,4.72
28047460,Andre Wisdom,81%,0.09,10.77
2000105707,Richard Faakye,81%,0.08,4.69
28037033,Adam Blakeman,84%,0.18,16.07
29231812,Luke Haines,88%,0.06,7.72
29139507,George Fowler,82%,0.07,18.1
