club,division,possession
Blyth,Vanarama National League North,64
Scunthorpe,Vanarama National League North,64
Chorley,Vanarama National League North,59
Boston Utd,Vanarama National League North,58
Baintree,Vanarama National League North,55
Alfreton,Vanarama National League North,51
Tamworth,Vanarama National League North,51
Darlington,Vanarama National League North,49
Oxford City,Vanarama National League North,48
Buxton,Vanarama National League North,48
Leamington,Vanarama National League North,47
Merthyr,Vanarama National League North,47
Peterborough Sports,Vanarama National League North,47
Gloucester,Vanarama National League North,47
Chester,Vanarama National League North,47
Curzon Ashton,Vanarama National League North,46
Spennymoor,Vanarama National League North,46
Farsley,Vanarama National League North,46
Ilkeston,Vanarama National League North,46
Sothport,Vanarama National League North,45
Brackley,Vanarama National League North,45
Warrington,Vanarama National League North,44
Gainsborough,Vanarama National League North,44
Banbury,Vanarama National League North,44
Eastbourne Borough,Vanarama National League South,57
Chelmsford,Vanarama National League South,56
Wealdstone,Vanarama National League South,54
Eastleigh,Vanarama National League South,54
weston-super-Mare,Vanarama National League South,53
Dorking,Vanarama National League South,53
Torquay,Vanarama National League South,52
Chippenham,Vanarama National League South,51
Dartford,Vanarama National League South,51
Farnborough,Vanarama National League South,51
Weymouth,Vanarama National League South,50
Hampton & Richmond,Vanarama National League South,50
Bath City,Vanarama National League South,50
Dover,Vanarama National League South,49
Truro,Vanarama National League South,48
Tonbridge,Vanarama National League South,48
Havant & W,Vanarama National League South,48
Hemel Hempstead,Vanarama National League South,46
Welling,Vanarama National League South,46
Salisbury,Vanarama National League South,46
Chesham,Vanarama National League South,45
Folkestone,Vanarama National League South,44
Aveley,Vanarama National League South,44
Dulwich,Vanarama National League South,44
