UID,Position Selected,Inf,Name,Position,Based,Division,Club,Best Pos,Best Role,Age,Nat,Agreed Playing Time,Ability,Potential,Wage,Expires,Transfer Value,Personality,NoB,2nd Nat,Height,Weight,Left Foot,Preferred Foot,Right Foot,Asts/90,Tck/90,Tck W,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Aer A/90,AT Apps,Yel,xG,Saves/90,Tgls/90,Tcon/90,Tcon,Tgls,Starts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,LMR,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Gls/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Con/90,Cln/90,Clean Sheets,Av Rat,Mins/Gl,Ast,Apps,AT Lge Gls,AT Lge Apps,AT Gls,Hdrs A,style
2000270246,-,Loa,Jonah Kampos-Green,D (L),England (Vanarama North),Vanarama National League North,Chorley,D (L),Inverted Wing-Back,19,ENG,Youngster,,,€120 p/w,30/6/2024,€0,Balanced,ENG,,"6'1""",76 kg,Very Strong,Left,Weak,-,0.78,1,2,50%,-,-,-,-,0.00,0.78,1,0,-,-,-,-,6.21,8,1.55,2,5.43,7,20.17,12.41,36.47,47,42.67,55,85%,1.55,2,1.55,2,6.98,9,24%,0,0,0.00,0,3.10,4,0.00,1.55,2,21.72,75%,4.66,6,1.55,0,0,-,-,-,0.00,-,0,13.6km,17.5km,3.10,4,13.19,17,22%,-,0.00,0,1,0.78,0.78,1,6.21,3,0,0.00,-,1.55,0.78,-,2,1,0,1.80,0,-,0,-,-,-,0,0.00,0.00,-,-,58.00,116,-,,,-,-,-,-,-,-,0,2,30,0,0,100%,0,0,0.00,0.00,0.46,0.59,-,-,-,6.95,-,0,1 (1),-,2,-,8,wb
29193654,-,FtT,Jake Walker,"D (R), DM",England (Vanarama North),Vanarama National League North,Chorley,DM,Ball Winning Midfielder,23,ENG,Fringe Player,,,€375 p/w,30/6/2024,€0 - €6K,Balanced,ENG,,"5'10""",76 kg,Reasonable,Right,Very Strong,0.17,2.39,28,33,85%,0.60,29%,0.17,2,0.51,0.09,1,7,-,-,-,-,5.29,62,2.05,24,7.69,90,13.66,10.59,39.79,466,48.07,563,83%,1.02,12,0.51,6,2.73,32,19%,1,0,0.00,0,1.02,12,0.09,2.22,26,14.35,44%,2.65,31,3.42,0,0,-,-,-,0.03,0.51,6,13.4km,156.5km,0.51,6,2.73,32,18%,-,1.96,23,3,0.26,0.34,4,6.06,91,3,0.20,-,1.54,1.54,-,18,10,0,1.38,0,-,0,-,-,-,0,0.02,0.20,-,-,50.19,"1,054",-,,,-,-,-,-,-,-,0,8,-,8,5,38%,18,2,0.02,-0.20,0.10,1.13,-,-,-,6.79,-,2,10 (11),3,87,3,71,dm
28037033,DL,,Adam Blakeman,D/WB (L),England (Vanarama North),Vanarama National League North,Chorley,D (L),Full-Back,32,ENG,Regular Starter,,,€525 p/w,30/6/2024,€1.5K - €3K,Balanced,ENG,,"5'11""",72 kg,Very Strong,Left,Weak,0.33,1.85,68,90,76%,1.00,59%,0.60,22,0.73,0.16,6,37,-,-,-,-,4.75,175,2.20,81,7.90,291,13.41,15.26,28.89,"1,064",38.28,"1,410",75%,1.06,39,0.90,33,6.68,246,18%,2,1,0.08,3,2.85,105,0.38,1.85,68,20.25,71%,3.83,141,1.57,1,20,-,-,-,0.15,1.30,48,13.4km,493.8km,2.20,81,12.46,459,13%,16%,1.60,59,21,0.57,0.90,33,5.40,386,8,5.65,-,1.66,1.49,-,61,40,0,1.32,1,100%,5,-,-,-,5,0.05,1.70,158.00,-,82.88,"3,315",7.30,,,-,-,-,-,0.16,-,6,14,-,15,11,35%,40,14,0.15,0.35,0.25,9.22,-,-,-,6.84,552.50,12,40,37,383,38,199,wb
29218324,DMCL,,Joe Nolan,"DM, M (C)",England (Vanarama North),Vanarama National League North,Chorley,DM,Segundo Volante,22,ENG,Squad Player,,,€375 p/w,30/6/2025,€0 - €45K,Balanced,ENG,,"6'3""",84 kg,Weak,Right,Very Strong,0.15,1.66,67,94,71%,1.74,33%,0.57,23,0.42,0.15,6,70,-,-,-,-,4.49,181,2.58,104,9.63,388,11.88,9.80,38.23,"1,541",47.26,"1,905",81%,0.99,40,0.10,4,0.64,26,15%,2,2,0.05,2,0.99,40,0.62,1.56,63,13.30,68%,6.38,257,3.03,1,0,-,-,-,0.08,0.69,28,13.3km,535.7km,0.10,4,0.64,26,15%,9%,1.69,68,11,0.27,0.30,12,9.40,106,4,5.50,-,1.66,1.51,-,67,43,0,1.35,2,-,0,-,-,-,0,0.14,5.50,9.00,-,74.04,"3,628",7.70,,,-,-,-,-,0.15,-,6,17,-,17,15,35%,52,18,0.14,0.50,0.11,4.42,-,-,-,6.85,604.67,6,43 (6),6,102,6,379,dm
28058860,DR,Slt,Adam Henley,D (RL),England (Vanarama North),Vanarama National League North,Chorley,D (R),Wing-Back,29,WAL,Regular Starter,,,€350 p/w,30/6/2024,€500 - €6K,Balanced,USA,ENG,"5'10""",81 kg,Weak,Right,Very Strong,0.24,2.15,91,125,73%,0.14,17%,0.02,1,0.12,0.24,10,6,-,-,-,-,4.30,182,2.55,108,8.04,340,14.23,11.51,32.84,"1,389",41.21,"1,743",80%,0.85,36,0.73,31,4.02,170,18%,1,0,0.19,8,0.87,37,0.21,2.77,117,11.56,51%,2.84,120,2.74,0,0,-,-,-,0.06,0.90,38,12.7km,539.1km,0.73,31,4.02,170,18%,-,2.08,88,19,0.45,0.54,23,5.58,221,2,0.34,-,1.68,1.44,-,71,43,0,1.37,0,-,0,-,-,-,0,0.01,0.34,-,-,88.53,"3,807",6.80,,,-,-,-,-,-,-,0,15,-,14,14,35%,28,16,0.01,-0.34,0.12,5.18,-,-,-,6.85,-,10,43,1,217,1,236,fb
29159617,DMCR,,Mike Calveley,"DM, M (C)",England (Vanarama North),Vanarama National League North,Chorley,M (C),Box To Box Midfielder,24,ENG,Regular Starter,,,€350 p/w,30/6/2025,€22K - €45K,Fairly Determined,ENG,,"6'1""",78 kg,Weak,Right,Very Strong,0.13,1.85,56,75,75%,0.83,24%,0.20,6,0.53,0.26,8,25,-,-,-,-,3.94,119,3.41,103,11.19,338,8.80,7.78,35.65,"1,077",42.67,"1,289",84%,0.83,25,0.07,2,0.73,22,9%,3,1,0.03,1,0.83,25,0.26,0.96,29,14.33,69%,3.57,108,1.59,0,1,-,-,-,0.08,0.63,19,13.3km,402.6km,0.07,2,0.73,22,9%,-,1.32,40,8,0.26,0.33,10,5.16,209,6,1.90,-,1.32,1.72,-,40,29,0,1.15,1,-,0,-,-,-,0,0.06,1.90,-,-,66.32,"2,719",7.80,,,-,-,-,-,-,-,0,11,-,16,14,27%,48,10,0.06,-1.90,0.07,2.08,-,-,-,6.65,-,4,29 (12),13,205,13,156,dm
29110602,AMR,,Billy Whitehouse,M/AM (R),England (Vanarama North),Vanarama National League North,Chorley,AM (R),Winger,27,ENG,Regular Starter,,,€525 p/w,30/6/2024,€0 - €8K,Balanced,ENG,,"5'11""",73 kg,Fairly Strong,Right,Very Strong,0.18,2.00,68,81,84%,1.41,50%,0.71,24,0.44,0.24,8,48,-,-,-,-,3.73,127,2.79,95,11.08,377,7.11,13.76,25.48,867,31.66,"1,077",81%,1.70,58,1.09,37,6.61,225,17%,11,0,0.00,0,2.15,73,0.00,1.53,52,14.67,36%,2.56,87,4.59,1,1,-,-,-,0.11,2.91,99,13.2km,448.5km,1.47,50,8.82,300,16%,17%,1.47,50,21,0.62,0.68,23,7.14,159,1,5.38,-,1.70,1.35,-,58,36,0,1.41,1,-,0,-,-,-,0,0.16,5.38,37.00,-,78.51,"3,062",7.60,,,-,-,-,-,0.24,-,8,15,-,14,10,38%,26,49,0.16,2.62,0.28,9.63,-,-,-,6.95,382.75,6,36 (3),19,156,19,243,w
28110490,DCL,,Scott Wilson,D (LC),England (Vanarama North),Vanarama National League North,Chorley,D (C),Central Defender,24,ENG,Important Player,,,€400 p/w,30/6/2024,€500 - €14K,Balanced,ENG,,"6'1""",82 kg,Very Strong,Left Only,Weak,0.04,0.91,41,54,76%,0.24,18%,0.04,2,0.00,0.49,22,11,-,-,-,-,3.69,166,1.27,57,3.49,157,13.66,9.59,35.24,"1,584",44.14,"1,984",80%,0.40,18,0.13,6,0.91,41,15%,0,0,0.22,10,0.40,18,0.56,2.29,103,4.81,77%,5.99,269,1.78,0,0,-,-,-,0.13,0.22,10,11.0km,494.6km,0.13,6,0.91,41,14%,9%,1.49,67,6,0.13,0.65,29,7.77,152,2,1.46,-,1.67,1.51,-,75,44,0,1.29,1,-,0,-,-,-,0,0.03,1.46,"2,883.00",-,82.55,"4,045",6.70,,,-,-,-,-,0.02,-,1,16,-,18,15,33%,19,1,0.03,-0.46,0.06,2.78,-,-,-,6.74,"4,045.00",2,44 (5),4,147,4,349,cb
29003821,DCR,,Mark Ellis,D (C),England (Vanarama North),Vanarama National League North,Chorley,D (C),No-Nonsense Centre-Back,35,ENG,Important Player,,,€350 p/w,30/6/2024,€0,Balanced,ENG,,"6'2""",77 kg,Weak,Right,Very Strong,0.05,0.48,21,33,64%,0.36,38%,0.14,6,0.00,0.25,11,16,-,-,-,-,3.68,162,0.86,38,2.13,94,11.59,9.21,33.94,"1,496",43.33,"1,910",78%,0.43,19,0.02,1,0.07,3,33%,2,1,0.18,8,0.43,19,0.64,1.27,56,4.90,73%,6.65,293,2.47,0,0,-,-,-,0.20,0.02,1,10.9km,481.4km,0.02,1,0.07,3,33%,13%,1.57,69,2,0.05,0.41,18,9.12,470,5,3.13,-,1.61,1.43,-,71,44,0,1.41,0,-,0,-,-,-,0,0.07,3.13,275.00,-,80.96,"3,967",7.10,,,-,-,-,-,0.05,-,2,18,-,16,15,37%,25,8,0.07,-1.13,0.03,1.46,-,-,-,6.65,"1,983.50",2,44 (5),35,466,35,402,cb
2000170071,-,Ctr,Amadou Doumbouya,"M (C), AM (RLC)",England (Vanarama North),Vanarama National League North,Chorley,AM (R),Winger,21,GUI,Future Prospect,,,N/A,-,€0,Fairly Ambitious,GUI,,"5'8""",63 kg,Very Strong,Left Only,Weak,0.19,0.74,8,15,53%,1.39,20%,0.28,3,0.74,0.09,1,15,-,-,-,-,3.62,39,1.76,19,7.89,85,6.03,10.76,25.52,275,31.18,336,82%,0.84,9,0.28,3,4.27,46,7%,3,0,0.00,0,0.84,9,0.00,1.30,14,10.39,16%,1.02,11,5.47,0,0,-,-,-,0.11,3.53,38,12.5km,135.1km,0.28,3,4.27,46,6%,-,0.65,7,4,0.37,0.56,6,6.49,34,0,1.60,-,1.58,1.67,-,17,11,0,1.40,0,-,0,-,-,-,0,0.15,1.60,-,-,48.50,970,-,,,-,-,-,-,-,-,0,7,5,6,7,35%,10,22,0.15,-1.60,0.15,1.67,-,-,-,6.58,-,2,11 (9),-,33,-,70,iw
29158250,S2,,Harvey Smith,D (C),England (Vanarama North),Vanarama National League North,Chorley,D (C),Central Defender,25,ENG,Fringe Player,,,€400 p/w,30/6/2024,€0 - €4.5K,Balanced,ENG,,"6'0""",76 kg,Weak,Right Only,Very Strong,-,0.61,11,15,73%,0.61,18%,0.11,2,0.11,0.28,5,11,-,-,-,-,3.51,63,0.67,12,2.45,44,15.00,11.21,34.24,614,45.06,808,76%,0.17,3,0.06,1,0.11,2,50%,1,1,0.11,2,0.17,3,0.95,1.95,35,4.46,71%,7.64,137,3.18,1,0,-,-,-,0.06,0.06,1,11.2km,200.1km,0.06,1,0.11,2,50%,9%,2.12,38,1,0.06,0.33,6,10.82,132,1,0.71,-,1.84,1.84,-,33,17,0,1.27,0,-,0,-,-,-,0,0.04,0.71,"1,314.00",-,53.80,"1,614",-,,,-,-,-,-,0.06,-,1,11,2,14,5,37%,4,1,0.04,0.29,0.01,0.21,-,-,-,6.65,"1,614.00",0,17 (13),10,130,11,194,cb
28100985,S5,PR,Ollie Shenton,"M (C), AM (LC)",England (Vanarama North),Vanarama National League North,Chorley,M (C),Box To Box Midfielder,26,ENG,Fringe Player,,,€575 p/w,30/6/2024,€3K - €6K,Fairly Professional,ENG,,"5'9""",77 kg,Very Strong,Left,Weak,0.10,2.49,25,29,86%,1.50,13%,0.20,2,1.30,0.10,1,15,-,-,-,-,3.49,35,3.29,33,10.58,106,10.78,16.46,22.95,230,30.53,306,75%,1.40,14,1.00,10,7.38,74,15%,1,0,0.20,2,2.79,28,0.20,2.20,22,19.16,33%,2.39,24,4.89,1,5,-,-,-,0.09,1.20,12,14.0km,140.4km,2.10,21,13.67,137,13%,7%,2.20,22,6,0.60,0.60,6,7.28,146,1,1.40,-,1.70,1.90,-,17,8,0,1.67,0,-,0,-,-,-,0,0.14,1.40,706.00,-,42.95,902,-,,,-,-,-,-,0.10,-,1,9,-,4,8,43%,12,3,0.14,-0.40,0.22,2.25,-,-,-,6.68,902.00,1,8 (13),17,143,17,73,wb
61071573,AML,,Justin Johnson,M/AM (RL),England (Vanarama North),Vanarama National League North,Chorley,AM (L),Winger,27,NED,Regular Starter,,,€300 p/w,30/6/2024,€4.5K - €9K,Balanced,NED,ENG,"5'7""",70 kg,Reasonable,Right,Very Strong,0.17,2.52,87,97,90%,1.13,36%,0.41,14,0.61,0.14,5,39,-,-,-,-,3.39,117,3.10,107,10.84,374,6.23,11.83,22.70,783,28.15,971,81%,1.39,48,0.75,26,5.45,188,14%,9,0,0.00,0,1.39,48,0.03,1.80,62,11.16,8%,0.58,20,6.64,0,0,-,-,-,0.11,3.25,112,13.0km,449.4km,0.75,26,5.45,188,13%,5%,0.93,32,14,0.41,0.43,15,7.22,156,3,4.22,-,1.48,1.59,-,51,35,0,1.18,0,-,0,-,-,-,0,0.12,4.22,"1,267.00",-,77.60,"3,104",6.30,,,-,-,-,-,0.06,-,2,11,-,15,14,28%,30,66,0.12,-2.22,0.18,6.32,-,-,-,6.64,"1,552.00",6,35 (5),15,152,15,249,iw
2000191451,-,Loa,Callum McHale,ST (C),England (Vanarama North),Vanarama National League North,Chorley,ST (C),Poacher,20,ENG,Youngster,,,€120 p/w,30/6/2024,€0,Balanced,ENG,,"5'11""",69 kg,Reasonable,Right,Very Strong,-,0.86,3,3,100%,2.30,63%,1.44,5,1.44,0.00,0,8,-,-,-,-,2.59,9,0.86,3,2.01,7,3.16,5.18,20.70,72,21.28,74,97%,0.58,2,0.00,0,1.73,6,0%,2,0,0.00,0,0.58,2,0.00,0.58,2,1.73,13%,0.58,2,4.03,0,0,-,-,-,0.22,1.44,5,11.3km,39.3km,0.00,0,1.73,6,-,13%,1.73,6,2,0.58,-,0,4.60,5,0,1.74,-,1.44,1.73,-,5,3,0,1.35,0,-,0,-,-,-,0,0.50,1.74,265.00,-,62.60,313,-,,,-,-,-,-,0.29,-,1,1,10,1,3,20%,2,6,0.50,-0.74,0.06,0.22,-,-,-,6.74,313.00,0,3 (2),-,3,1,16,st
28047246,GK,,Matt Urwin,GK,England (Vanarama North),Vanarama National League North,Chorley,GK,Sweeper Keeper,30,ENG,First-Choice Goalkeeper,,,€475 p/w,30/6/2024,€500 - €7K,Fairly Ambitious,ENG,,"6'1""",77 kg,Reasonable,Right,Very Strong,-,0.04,2,7,29%,-,-,-,-,-,-,-,0,26,79,72,74%,1.82,91,0.00,0,0.00,0,7.50,13.80,8.46,423,19.52,976,43%,0.02,1,-,-,-,-,-,0,0,0.02,1,0.02,1,0.00,0.60,30,0.10,-,-,-,-,-,-,83%,0.02,0.93,0.00,-,0,5.8km,291.8km,-,-,-,-,-,-,11.96,-,0,-,-,-,-,296,0,0.00,3,1.64,1.48,74,82,50,0,1.38,3,-,0,29%,2,7,0,0.00,0.00,-,138.00,90.00,"4,500",7.40,,,-,-,-,-,-,74,0,18,-,17,15,36%,0,0,0.00,0.00,0.00,0.18,1.48,0.24,12,6.77,-,0,50,-,292,-,-,sk
28121439,S4,FtT,Fidel O'Rourke,"AM (RL), ST (C)",England (Vanarama North),Vanarama National League North,Chorley,ST (C),Pressing Forward,22,ENG,Regular Starter,,,€425 p/w,30/6/2024,€500 - €5K,Fairly Professional,ENG,,"5'10""",70 kg,Reasonable,Right,Very Strong,0.24,1.75,36,39,92%,1.41,52%,0.73,15,0.29,0.15,3,29,-,-,-,-,1.80,37,2.09,43,8.59,177,4.42,7.38,20.34,419,23.54,485,86%,0.83,17,0.29,6,2.04,42,14%,10,1,0.00,0,0.83,17,0.00,1.46,30,8.35,12%,1.26,26,8.93,1,0,-,-,-,0.23,1.60,33,12.5km,257.4km,0.29,6,2.04,42,14%,21%,0.92,19,8,0.39,0.24,5,10.19,48,2,6.63,-,1.31,1.41,-,27,20,0,1.43,3,-,0,-,-,-,0,0.32,6.63,249.00,-,66.21,"1,854",-,,,-,-,-,-,0.29,-,6,11,-,10,7,39%,20,33,0.32,-0.63,0.24,4.89,-,-,-,6.90,309.00,5,20 (8),13,45,13,210,st
29146090,STCR,,Carlton Ubaezuonu,"M (L), AM (LC), ST (C)",England (Vanarama North),Vanarama National League North,Chorley,AM (L),Winger,25,NGA,Fringe Player,,,€300 p/w,30/6/2024,€0 - €9K,Spirited,RSA,RSA,"5'11""",78 kg,Very Strong,Left Only,Very Weak,0.15,1.35,54,68,79%,2.08,45%,0.93,37,0.80,0.15,6,83,-,-,-,-,1.23,49,2.48,99,9.26,370,5.78,9.46,19.64,785,24.26,970,81%,0.83,33,0.23,9,2.95,118,10%,26,1,0.00,0,1.05,42,0.08,1.20,48,9.18,31%,3.53,141,7.75,1,0,-,-,-,0.16,2.63,105,12.5km,500.5km,0.40,16,3.98,159,7%,19%,0.85,34,8,0.20,0.25,10,11.28,152,1,13.68,-,1.70,1.60,-,68,41,0,1.36,6,-,0,-,-,-,0,0.34,13.68,531.00,-,79.96,"3,598",6.50,,,-,-,-,-,0.40,-,16,16,-,16,13,36%,49,80,0.34,2.32,0.11,4.20,-,-,-,6.90,224.88,6,41 (4),31,149,33,451,st
29091260,S1,,David Moyo,"AM (L), ST (C)",England (Vanarama North),Vanarama National League North,Chorley,ST (C),Target Forward,29,ZIM,Fringe Player,,,€350 p/w,30/6/2024,€500 - €8K,Fairly Sporting,ZIM,ENG,"6'0""",89 kg,Weak,Right,Very Strong,0.17,1.26,30,36,83%,2.13,47%,1.00,24,0.46,0.04,1,51,-,-,-,-,1.21,29,2.43,58,7.91,189,6.03,8.20,23.15,553,27.80,664,83%,1.00,24,0.33,8,1.88,45,18%,7,1,0.00,0,1.00,24,0.13,1.55,37,8.16,31%,4.31,103,9.63,0,0,-,-,-,0.22,1.51,36,12.5km,299.2km,0.33,8,1.88,45,17%,20%,0.63,15,7,0.29,0.25,6,13.94,356,0,11.09,-,1.80,1.30,-,43,19,0,1.29,1,67%,2,-,-,-,3,0.37,8.72,107.00,-,52.44,"2,150",-,,,-,-,-,-,0.42,-,10,14,2,16,11,34%,8,41,0.46,-1.09,0.12,2.87,-,-,-,6.88,215.00,4,19 (22),76,352,76,333,st
28048861,STCL,PR,Jack Sampson,ST (C),England (Vanarama North),Vanarama National League North,Chorley,ST (C),Target Forward,31,ENG,Important Player,,,€600 p/w,30/6/2025,€45K - €85K,Balanced,ENG,,"6'2""",78 kg,Reasonable,Right,Very Strong,0.06,0.92,29,47,62%,3.63,43%,1.56,49,0.57,0.29,9,114,-,-,-,-,0.80,25,2.16,68,8.30,261,5.28,6.84,18.83,592,23.10,726,82%,0.86,27,0.16,5,0.95,30,17%,39,0,0.00,0,0.86,27,0.35,0.80,25,9.35,49%,8.69,273,9.00,1,0,-,-,-,0.13,0.54,17,12.5km,393.9km,0.16,5,0.95,30,16%,19%,0.76,24,9,0.29,0.35,11,17.69,364,0,15.33,-,1.97,1.69,-,62,35,0,1.41,7,-,0,-,-,-,0,0.49,15.33,3.00,-,76.46,"2,829",7.50,,,-,-,-,-,0.70,-,22,14,-,13,10,38%,51,42,0.49,6.67,0.10,3.23,-,-,-,7.19,128.59,2,35 (2),73,360,77,556,st
5005191,-,,Steven Drench,GK,England (Vanarama North),Vanarama National League North,Chorley,GK,Goalkeeper,38,ENG,Backup,,,€300 p/w,30/6/2024,€0,Balanced,ENG,,"6'1""",79 kg,Weak,Right,Very Strong,-,-,-,0,-,-,-,-,-,-,-,-,0,2,0,2,50%,0.00,0,0.00,0,0.00,0,6.00,16.00,10.00,10,24.00,24,42%,0.00,0,-,-,-,-,-,0,1,0.00,0,-,0,0.00,1.00,1,0.00,-,-,-,-,-,-,77%,-1.48,-1.48,0.00,-,0,6.1km,6.1km,-,-,-,-,-,-,12.00,-,0,-,-,-,-,480,0,0.00,4,3.00,4.00,4,3,1,0,1.35,0,-,0,-,0,0,0,0.00,0.00,-,0.00,90.00,90,-,,,-,-,-,-,-,4,0,0,41,1,0,0%,0,0,0.00,0.00,0.00,0.00,4.00,0.00,0,5.90,-,0,1,-,479,-,-,sk
2000191455,-,Loa,Kier Barry,GK,England (Vanarama North),Vanarama National League North,Chorley,GK,Goalkeeper,18,ENG,Youngster,,,€60 p/w,30/6/2024,€0,Balanced,ENG,,"6'4""",79 kg,Reasonable,Right,Very Strong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sk
2000028012,-,Loa,Jack Hazlehurst,M/AM (C),England (Vanarama North),Vanarama National League North,Chorley,M (C),Mezzala,24,ENG,Fringe Player,,,€230 p/w,30/6/2024,€0 - €2.5K,Fairly Professional,ENG,,"5'7""",66 kg,Weak,Right,Very Strong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,64,16,-,dm
