UID,Rec,Inf,Name,Position,Club,Nat,Height,Weight,WR,Age,Transfer Value,Based,Division,Expires,Wage,Left Foot,Personality,Preferred Foot,Birth City,Best Pos,Max WD,Min WD,Hdrs A,Tck/90,Tck W,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,AT Apps,Yel,xG,Saves/90,Tgls/90,Tcon/90,Tcon,Tgls,Starts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Gls/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Con/90,Cln/90,Clean Sheets,Av Rat,Mins/Gl,Ast,Apps,AT Lge Gls,AT Lge Apps,AT Gls,Max AP,Min AP,Style,NoB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29138150,- -  -,Lst,Renei Batlokwa,M (C),Athlone Town,BOT,"5'10""",76 kg,,26,€14K,Ireland (First Division),Irish First Division,30/11/2024,€230 p/w,-,,Unknown,-,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,6.40,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,29,2,-,-,,BOT
90050580,- -  -,Lst,Jordan Nicholson,AM (L),Peterborough Sports,ENG,"5'10""",70 kg,,30,€3K,England (Vanarama North),Vanarama National League North,30/6/2024,€475 p/w,-,,Unknown,Godmanchester,"M/AM (RL), ST (RL)",N/A,N/A,17,2.14,4,4,100%,0.54,0%,0.00,0,0.54,0.00,0,1,-,-,-,-,0.54,1,0.54,1,8.57,16,8.57,10.71,16.61,31,21.96,41,76%,1.07,2,0.00,0,1.61,3,20%,0,0,0.00,0,2.14,4,0.00,2.68,5,11.25,18%,1.61,3,7.50,0,0,-,-,-,0.10,0.54,1,14.1km,26.3km,1.07,2,5.36,10,-,-,0.54,1,1,0.54,-,0,0.54,9.11,260,0,0.10,-,1.07,0.00,-,2,1,0,1.15,0,-,0,-,-,-,0,0.05,0.10,-,-,18.67,168,,,-,-,-,-,-,-,0,3,-,5,1,33%,2,4,0.05,-0.10,0.25,0.47,-,-,-,6.90,-,1,1 (8),120,257,120,-,-,,ENG
61074082,- -  -,Wnt,Adam Livingstone,D/WB (L),Buxton,SCO,"5'11""",70 kg,,26,€0,England (Vanarama North),Vanarama National League North,31/5/2024,€400 p/w,-,,Unknown,Carluke,"M/AM (RL), ST (RL)",N/A,N/A,228,2.29,81,96,84%,0.57,25%,0.14,5,0.51,0.23,8,20,-,-,-,-,5.10,180,2.46,87,7.93,280,14.73,11.92,36.28,"1,281",43.47,"1,535",83%,1.36,48,0.68,24,5.66,200,13%,4,0,0.08,3,1.73,61,0.68,2.07,73,14.24,71%,4.56,161,1.90,0,5,-,-,-,0.04,0.85,30,13.0km,460.0km,0.93,33,6.97,246,12%,5%,1.93,68,17,0.48,0.91,32,0.14,6.46,171,1,0.78,-,1.84,0.88,-,65,35,0,2.16,0,-,0,-,-,-,0,0.02,0.78,"1,467.00",-,83.63,"3,178",,,-,-,-,-,0.03,-,1,25,-,6,7,66%,24,14,0.02,0.22,0.15,5.36,-,-,-,6.98,"3,178.00",5,35 (3),3,165,4,-,-,,SCO
5113215,- -  -,Wnt,Joe Tait,D (C),,ENG,"6'2""",84 kg,,34,€0,England,-,-,-,-,,Unknown,Stockton-on-Tees,D (C),N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,382,59,-,-,,ENG
52075618,- -  -,Ama,Ahu Obhakhan,"AM (RL), ST (C)",Glebe North,NGA,"6'2""",82 kg,,26,Unknown,Ireland (Leinster First Division),Irish Leinster Senior League First Division,-,N/A,-,,Unknown,Drogheda,-,N/A,N/A,0,1.25,5,8,63%,1.00,25%,0.25,1,0.00,0.00,0,4,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,13.50,54,20.00,80,68%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.40,-,0,0.0km,0.0km,0.00,0,0.00,0,-,25%,0.00,0,0,-,-,0,-,-,35,0,1.59,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.40,1.59,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,0,-,0,4,0%,0,6,0.40,-0.59,0.10,0.38,-,-,-,7.55,360.00,0,4,4,35,4,-,-,,IRL
28099240,- -  -,Ama,Colm Deasy,D/WB (R),Malahide Utd,IRL,"5'9""",72 kg,,27,Unknown,Ireland (Leinster Premier Division),Irish Leinster Senior League Premier Division,-,N/A,-,,Unknown,Dublin,-,N/A,N/A,26,1.50,6,8,75%,2.50,20%,0.50,2,0.50,1.75,7,10,-,-,-,-,5.25,21,1.75,7,7.00,28,31.00,10.75,36.50,146,45.25,181,81%,1.25,5,0.00,0,3.25,13,0%,0,0,0.00,0,1.25,5,0.50,1.50,6,13.75,65%,4.25,17,2.25,0,0,-,-,-,0.12,1.00,4,11.9km,47.6km,0.00,0,3.25,13,-,-,1.50,6,0,-,0.25,1,-,6.50,157,0,1.17,-,2.25,0.50,-,9,4,0,2.10,0,-,0,-,-,-,0,0.29,1.17,-,-,90.00,360,,,-,-,-,-,-,-,0,4,-,0,0,100%,6,4,0.29,-1.17,0.05,0.21,-,-,-,6.90,-,0,4,6,153,6,-,-,,IRL
28100472,- -  -,Ama,Brandon Griffiths,"AM (L), ST (C)",Caerau Ely,WAL,"5'10""",60 kg,,26,Unknown,Wales (JD Cymru South),JD Cymru South,-,N/A,-,,Unknown,Cardiff,-,N/A,N/A,4,0.72,21,38,55%,2.05,45%,0.92,27,0.00,0.00,0,60,-,-,-,-,0.00,0,0.00,0,0.07,2,0.03,0.24,11.22,329,20.05,588,56%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.07,0%,0.00,0,0.14,0,0,-,-,-,0.10,-,0,0.2km,6.0km,0.00,0,0.00,0,-,18%,0.00,0,0,-,-,0,-,0.14,51,0,5.97,-,0.00,0.00,-,0,29,0,0.97,0,-,0,-,-,-,0,0.20,5.97,0.00,-,85.13,"2,639",,,-,-,-,-,0.38,-,11,0,-,1,30,0%,21,25,0.20,5.03,0.08,2.47,-,-,-,6.59,239.91,0,29 (2),11,49,11,-,-,,WAL
52075456,- -  -,Ama,Craig Donnellan,"DM, M (C)",Col Corinthians,IRL,"5'9""",70 kg,,27,Unknown,Ireland (Munster Premier Division),Irish Munster Senior League Premier Division,-,N/A,-,,Unknown,Cork,-,N/A,N/A,23,2.60,13,15,87%,1.20,50%,0.60,3,0.40,0.00,0,6,-,-,-,-,4.20,21,3.40,17,11.80,59,16.00,14.20,38.60,193,46.00,230,84%,1.00,5,0.00,0,1.40,7,0%,1,0,0.00,0,1.00,5,0.40,1.40,7,9.00,35%,1.60,8,3.00,0,0,-,-,-,0.07,0.40,2,12.0km,59.9km,0.00,0,1.40,7,-,17%,0.60,3,0,-,-,0,-,4.60,70,0,0.40,-,1.60,1.60,-,8,5,0,1.45,0,-,0,-,-,-,0,0.08,0.40,0.00,-,90.00,450,,,-,-,-,-,0.20,-,1,2,-,2,1,40%,4,9,0.08,0.60,0.06,0.31,-,-,-,6.62,450.00,0,5,2,64,4,-,-,,IRL
52064737,- -  -,Ama,Daniel Byrne,"D (C), DM",Kilbarrack Utd,IRL,"6'3""",87 kg,,30,Unknown,Ireland (Leinster Premier Division),Irish Leinster Senior League Premier Division,-,N/A,-,,Unknown,Dublin,-,N/A,N/A,23,1.60,8,8,100%,0.40,0%,0.00,0,0.20,0.40,2,2,-,-,-,-,1.20,6,0.20,1,1.00,5,13.00,1.40,29.20,146,35.20,176,83%,0.20,1,0.00,0,0.40,2,0%,0,0,0.20,1,0.20,1,0.00,0.40,2,1.40,87%,4.00,20,0.60,0,0,-,-,-,0.13,-,0,3.6km,18.1km,0.00,0,0.40,2,-,-,0.20,1,0,-,0.20,1,-,4.60,216,1,0.26,-,0.00,1.00,-,0,5,0,1.05,0,-,0,-,-,-,0,0.05,0.26,-,-,90.00,450,,,-,-,-,-,-,-,0,0,-,2,3,0%,5,1,0.05,-0.26,0.03,0.14,-,-,-,7.32,-,0,5,10,214,10,-,-,,IRL
