Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Joe Nolan,22,375,"6'3""",1,3628.0,13.3,"DM, M (C)",Chorley,ENG,,84 kg,€0 - €45K,,0.0,0.0,0.0,0.0,,0.0,,,9.8,4.49,71.0,1,1.56,11.88,1.66,71.0,,68.0,1.69,0.3,2.08,11.88,9.8,4.49,81.0,,0.11,0.69,0.1,0.64,6.5,0.01,33.0,33.0,6.38,,2.0,0.04961411245865491,0.14,0.15,0.0,0.0
Adam Livingstone,26,400,"5'11""",1,3178.0,13.0,D/WB (L),Buxton,SCO,,70 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,11.92,5.1,84.0,2,2.07,14.73,2.29,84.0,,71.0,1.93,0.91,2.81,14.73,11.92,5.1,83.0,,0.15,0.85,0.93,6.97,7.45,0.01,25.0,25.0,4.56,,4.0,0.1132787916928886,0.02,0.03,0.0,0.0
Colm Deasy,27,0,"5'9""",1,360.0,11.9,D/WB (R),Malahide Utd,IRL,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.75,5.25,75.0,1,1.5,31.0,1.5,75.0,,65.0,1.5,0.25,20.25,31.0,10.75,5.25,81.0,,0.05,1.0,0.0,3.25,0.0,-0.29,20.0,20.0,4.25,,0.0,0.0,0.29,0.0,0.0,0.0
Craig Donnellan,27,0,"5'9""",1,450.0,12.0,"DM, M (C)",Col Corinthians,IRL,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.2,4.2,87.0,1,1.4,16.0,2.6,87.0,,35.0,0.6,0.0,1.8,16.0,14.2,4.2,84.0,,0.06,0.4,0.0,1.4,0.0,0.12,50.0,50.0,1.6,,1.0,0.2,0.08,0.2,0.0,0.0
Scott Barrow,35,775,"5'10""",1,1726.0,13.7,D/WB (L),Darlington,WAL,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.97,6.05,78.0,2,2.35,11.0,2.56,78.0,,47.0,0.89,0.68,-2.97,11.0,13.97,6.05,83.0,,0.2,1.67,1.04,9.18,8.8,-0.02,16.0,16.0,1.93,,0.0,0.0,0.07,0.05,0.0,0.0
Harry Nevin,20,240,"6'4""",1,540.0,11.0,D (RC),Kerry,IRL,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,3.33,4.5,75.0,1,2.0,13.67,1.0,75.0,,71.0,1.67,0.67,10.34,13.67,3.33,4.5,80.0,,0.0,0.0,0.0,0.17,0.0,0.09,33.0,33.0,7.0,,0.0,0.0,0.08,0.17,0.0,0.0
Kevin Roberts,34,475,"5'8""",1,443.0,12.7,DM,Chester,ENG,,89 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.03,6.91,86.0,1,1.83,12.8,1.22,86.0,,49.0,1.63,0.61,-2.23,12.8,15.03,6.91,73.0,,0.07,0.41,1.42,5.89,4.14,0.0,0.0,0.0,3.66,,0.0,0.0,0.0,0.0,0.0,0.0
Tom Platt,30,400,"6'1""",1,3732.0,13.1,"DM, M (C)",Darlington,ENG,,82 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.37,5.26,73.0,1,0.99,9.98,2.05,73.0,,69.0,1.47,0.65,1.61,9.98,8.37,5.26,85.0,,0.08,0.41,0.05,0.34,7.0,-0.07,29.0,29.0,4.49,,2.0,0.04823151125401929,0.09,0.02,0.0,0.0
Cuba Meyer,20,120,"5'9""",1,4350.0,13.0,WB (L),Peterborough Sports,NED,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.18,3.04,88.0,2,2.32,11.44,2.86,88.0,,63.0,2.05,0.89,-1.74,11.44,13.18,3.04,83.0,,0.16,1.22,1.08,8.26,7.67,-0.01,47.0,47.0,4.06,,4.0,0.08275862068965517,0.07,0.06,0.0,0.0
