Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Amadou Doumbouya,21,0,"5'8""",1,970.0,12.5,"M (C), AM (RLC)",Chorley,GUI,,63 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,10.76,3.62,53.0,1,1.3,6.03,0.74,53.0,,16.0,0.65,0.56,-4.73,6.03,10.76,3.62,82.0,,0.15,3.53,0.28,4.27,15.33,-0.15,20.0,20.0,1.02,,3.0,0.27835051546391754,0.15,0.0,0.0,0.0
Adam Livingstone,26,400,"5'11""",1,3178.0,13.0,D/WB (L),Buxton,SCO,,70 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,11.92,5.1,84.0,2,2.07,14.73,2.29,84.0,,71.0,1.93,0.91,2.81,14.73,11.92,5.1,83.0,,0.15,0.85,0.93,6.97,7.45,0.01,25.0,25.0,4.56,,4.0,0.1132787916928886,0.02,0.03,0.0,0.0
Frank Mulhern,27,400,"5'11""",1,1522.0,12.6,ST (C),Scarborough Athletic,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.35,0.83,58.0,1,0.83,4.49,0.83,58.0,,26.0,0.47,0.12,-5.86,4.49,10.35,0.83,86.0,,0.15,0.59,0.35,1.66,4.67,0.12,46.0,46.0,3.96,,12.0,0.709592641261498,0.35,0.47,0.0,0.0
Cuba Meyer,20,120,"5'9""",1,4350.0,13.0,WB (L),Peterborough Sports,NED,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.18,3.04,88.0,2,2.32,11.44,2.86,88.0,,63.0,2.05,0.89,-1.74,11.44,13.18,3.04,83.0,,0.16,1.22,1.08,8.26,7.67,-0.01,47.0,47.0,4.06,,4.0,0.08275862068965517,0.07,0.06,0.0,0.0
Blair Adams,32,575,"5'11""",1,3757.0,13.0,D/WB (L),South Shields,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.06,6.61,84.0,2,2.25,12.38,2.2,84.0,,62.0,1.29,0.69,2.32,12.38,10.06,6.61,88.0,,0.18,1.03,0.81,4.29,5.26,-0.02,41.0,41.0,3.14,,3.0,0.07186585041256321,0.04,0.02,0.0,0.0
Sam Fielding,25,350,"6'2""",1,1359.0,13.7,"D (C), DM, M (C)",Spennymoor,ENG,,75 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,6.82,3.84,70.0,1,1.46,8.34,1.26,70.0,,45.0,0.99,0.66,1.52,8.34,6.82,3.84,91.0,,0.15,0.79,0.73,5.1,7.0,-0.02,33.0,33.0,2.12,,2.0,0.13245033112582782,0.09,0.07,0.0,0.0
Alex Fletcher,27,180,"5'9""",1,1015.0,13.9,"DM, M (C)",Rushall,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,6.38,5.32,72.0,1,1.33,7.36,2.48,72.0,,29.0,1.33,0.53,0.98,7.36,6.38,5.32,89.0,,0.2,0.44,0.18,0.62,3.5,-0.09,43.0,43.0,1.06,,0.0,0.0,0.04,0.09,0.0,0.0
Alex Moore,27,120,"6'1""",1,3345.0,13.1,"DM, M (C)",Rushall,ENG,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,7.43,2.58,68.0,1,1.29,8.66,1.35,68.0,,57.0,1.75,0.38,1.23,8.66,7.43,2.58,90.0,,0.15,0.54,0.62,3.17,5.13,-0.07,24.0,24.0,2.72,,3.0,0.08071748878923767,0.12,0.05,0.0,0.0
Mustafa Hussein,23,0,"5'10""",1,2599.0,12.1,AM (R),Caernarfon,ENG,,73 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,18.21,2.08,77.0,1,1.42,3.12,1.7,77.0,,15.0,1.14,0.62,-15.09,3.12,18.21,2.08,84.0,,0.15,2.67,0.83,5.82,7.0,-0.02,47.0,47.0,0.97,,5.0,0.17314351673720663,0.19,0.17,0.0,0.0
Jack Tolley,20,300,"5'9""",1,2866.0,12.4,AM (R),Gloucester,ENG,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.13,2.14,81.0,1,1.7,6.59,1.6,81.0,,29.0,1.26,0.82,-7.54,6.59,14.13,2.14,84.0,,0.15,3.58,0.97,6.63,6.81,-0.04,24.0,24.0,1.92,,5.0,0.157013258897418,0.07,0.03,0.0,0.0
