Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Justin Johnson,27,300,"5'7""",1,3104.0,13.0,M/AM (RL),Chorley,NED,,70 kg,€4.5K - €9K,,0.0,0.0,0.0,0.0,,0.0,,,11.83,3.39,90.0,1,1.8,6.23,2.52,90.0,,8.0,0.93,0.43,-5.6,6.23,11.83,3.39,81.0,,0.18,3.25,0.75,5.45,7.23,-0.06,36.0,36.0,0.58,,9.0,0.2609536082474227,0.12,0.06,0.0,0.0
Craig Walsh,32,0,"6'0""",1,360.0,0.0,M (C),Inchicore Ath,IRL,,77 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,89.0,0,0.0,0.0,2.0,89.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,0.34,0.0,0.0,0.0,0.0,0.15,33.0,33.0,0.0,,0.0,0.0,0.1,0.25,0.0,0.0
James English,32,0,"6'1""",1,360.0,0.0,"AM (R), ST (C)",Ayrfield Utd,IRL,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,75.0,0,0.0,0.0,1.5,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,0.18,0.0,0.0,0.0,0.0,0.28,50.0,50.0,0.0,,0.0,0.0,0.22,0.5,0.0,0.0
Kaine Felix,28,350,"5'10""",1,239.0,15.7,M/AM (R),Peterborough Sports,ENG,,71 kg,€1.5K,,0.0,0.0,0.0,0.0,,0.0,,,14.69,1.13,100.0,2,1.88,9.79,4.14,100.0,,19.0,0.38,0.0,-4.9,9.79,14.69,1.13,83.0,,0.02,3.01,0.38,6.03,16.0,-0.35,50.0,50.0,2.64,,4.0,1.506276150627615,0.35,0.0,0.0,0.0
Cuba Meyer,20,120,"5'9""",1,4350.0,13.0,WB (L),Peterborough Sports,NED,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.18,3.04,88.0,2,2.32,11.44,2.86,88.0,,63.0,2.05,0.89,-1.74,11.44,13.18,3.04,83.0,,0.16,1.22,1.08,8.26,7.67,-0.01,47.0,47.0,4.06,,4.0,0.08275862068965517,0.07,0.06,0.0,0.0
Max Brogan,21,525,"6'1""",1,458.0,11.9,M/AM (C),Buxton,ENG,,62 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,6.68,2.16,80.0,1,1.97,6.68,1.57,80.0,,26.0,0.98,0.0,0.0,6.68,6.68,2.16,89.0,,0.24,0.79,0.59,1.18,2.0,-0.17,57.0,57.0,0.98,,0.0,0.0,0.17,0.0,0.0,0.0
Steven Kinsella,25,0,"5'11""",1,540.0,12.6,AM (RL),Lucan Utd,IRL,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.33,2.0,93.0,1,1.17,7.5,2.17,93.0,,22.0,1.83,0.17,-6.83,7.5,14.33,2.0,80.0,,0.35,1.33,1.17,9.17,7.86,-0.08,67.0,67.0,1.67,,1.0,0.16666666666666669,0.08,0.0,0.0,0.0
Anthony McAlavey,29,0,"5'7""",1,360.0,14.0,M/AM (C),Ringmahon,IRL,,67 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,19.25,0.5,100.0,1,1.75,21.5,0.75,100.0,,30.0,1.0,0.75,2.25,21.5,19.25,0.5,91.0,,0.16,1.5,0.25,8.5,34.0,-0.2,33.0,33.0,2.25,,0.0,0.0,0.2,0.0,0.0,0.0
Shane Barnes,26,0,"5'9""",1,525.0,9.7,ST (C),Crumlin Utd,IRL,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.14,0.69,86.0,1,1.03,4.46,1.03,86.0,,33.0,0.51,0.34,-6.68,4.46,11.14,0.69,91.0,,0.24,0.86,0.0,0.34,0.0,0.38,33.0,33.0,2.74,,4.0,0.6857142857142857,0.31,0.69,0.0,0.0
