Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Kier Barry,18,60,"6'4""",1,0.0,0.0,GK,Chorley,ENG,,79 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Nicholson,30,475,"5'10""",1,168.0,14.1,AM (L),Peterborough Sports,ENG,,70 kg,€3K,,0.0,0.0,0.0,0.0,,0.0,,,10.71,0.54,100.0,1,2.68,8.57,2.14,100.0,,18.0,0.54,0.0,-2.14,8.57,10.71,0.54,76.0,,0.25,0.54,1.07,5.36,5.0,-0.05,0.0,0.0,1.61,,0.0,0.0,0.05,0.0,0.0,0.0
Adam Livingstone,26,400,"5'11""",1,3178.0,13.0,D/WB (L),Buxton,SCO,,70 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,11.92,5.1,84.0,2,2.07,14.73,2.29,84.0,,71.0,1.93,0.91,2.81,14.73,11.92,5.1,83.0,,0.15,0.85,0.93,6.97,7.45,0.01,25.0,25.0,4.56,,4.0,0.1132787916928886,0.02,0.03,0.0,0.0
Ahu Obhakhan,26,0,"6'2""",1,360.0,0.0,"AM (RL), ST (C)",Glebe North,NGA,,82 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,63.0,0,0.0,0.0,1.25,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,0.1,0.0,0.0,0.0,0.0,-0.15,25.0,25.0,0.0,,0.0,0.0,0.4,0.25,0.0,0.0
Colm Deasy,27,0,"5'9""",1,360.0,11.9,D/WB (R),Malahide Utd,IRL,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.75,5.25,75.0,1,1.5,31.0,1.5,75.0,,65.0,1.5,0.25,20.25,31.0,10.75,5.25,81.0,,0.05,1.0,0.0,3.25,0.0,-0.29,20.0,20.0,4.25,,0.0,0.0,0.29,0.0,0.0,0.0
Craig Donnellan,27,0,"5'9""",1,450.0,12.0,"DM, M (C)",Col Corinthians,IRL,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.2,4.2,87.0,1,1.4,16.0,2.6,87.0,,35.0,0.6,0.0,1.8,16.0,14.2,4.2,84.0,,0.06,0.4,0.0,1.4,0.0,0.12,50.0,50.0,1.6,,1.0,0.2,0.08,0.2,0.0,0.0
Daniel Byrne,30,0,"6'3""",1,450.0,3.6,"D (C), DM",Kilbarrack Utd,IRL,,87 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,1.4,1.2,100.0,1,0.4,13.0,1.6,100.0,,87.0,0.2,0.2,11.6,13.0,1.4,1.2,83.0,,0.03,0.0,0.0,0.4,0.0,-0.05,0.0,0.0,4.0,,0.0,0.0,0.05,0.0,0.0,0.0
Scott Barrow,35,775,"5'10""",1,1726.0,13.7,D/WB (L),Darlington,WAL,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.97,6.05,78.0,2,2.35,11.0,2.56,78.0,,47.0,0.89,0.68,-2.97,11.0,13.97,6.05,83.0,,0.2,1.67,1.04,9.18,8.8,-0.02,16.0,16.0,1.93,,0.0,0.0,0.07,0.05,0.0,0.0
Harry Nevin,20,240,"6'4""",1,540.0,11.0,D (RC),Kerry,IRL,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,3.33,4.5,75.0,1,2.0,13.67,1.0,75.0,,71.0,1.67,0.67,10.34,13.67,3.33,4.5,80.0,,0.0,0.0,0.0,0.17,0.0,0.09,33.0,33.0,7.0,,0.0,0.0,0.08,0.17,0.0,0.0
