Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Carlton Ubaezuonu,25,300,"5'11""",1,3598.0,12.5,"M (L), AM (LC), ST (C)",Chorley,NGA,,78 kg,€0 - €9K,,0.0,0.0,0.0,0.0,,0.0,,,9.46,1.23,79.0,1,1.2,5.78,1.35,79.0,,31.0,0.85,0.25,-3.68,5.78,9.46,1.23,81.0,,0.11,2.63,0.4,3.98,9.94,0.06,45.0,45.0,3.53,,26.0,0.6503613118399111,0.34,0.4,0.0,0.0
Brandon Griffiths,26,0,"5'10""",1,2639.0,0.2,"AM (L), ST (C)",Caerau Ely,WAL,,60 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.24,0.0,55.0,0,0.0,0.03,0.72,55.0,,0.0,0.0,0.0,-0.21,0.03,0.24,0.0,56.0,,0.08,0.0,0.0,0.0,0.0,0.18,45.0,45.0,0.0,,0.0,0.0,0.2,0.38,0.0,0.0
Kennedy Digie,27,350,"6'3""",1,1215.0,10.9,D (C),Alfreton,ENG,,88 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.19,3.11,88.0,1,1.33,13.78,1.04,88.0,,77.0,1.78,0.52,4.59,13.78,9.19,3.11,78.0,,0.07,0.0,0.0,0.15,0.0,0.07,57.0,57.0,8.59,,0.0,0.0,0.08,0.15,0.0,0.0
Vasyl Tropanets,23,150,"5'10""",1,102.0,11.0,AM (L),Longford,UKR,,68 kg,€18K,,0.0,0.0,0.0,0.0,,0.0,,,14.12,5.29,100.0,2,0.88,3.53,4.41,100.0,,50.0,1.76,0.0,-10.59,3.53,14.12,5.29,63.0,,0.0,0.88,0.0,5.29,0.0,0.69,50.0,50.0,3.53,,0.0,0.0,0.19,0.88,0.0,0.0
Frank Mulhern,27,400,"5'11""",1,1522.0,12.6,ST (C),Scarborough Athletic,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.35,0.83,58.0,1,0.83,4.49,0.83,58.0,,26.0,0.47,0.12,-5.86,4.49,10.35,0.83,86.0,,0.15,0.59,0.35,1.66,4.67,0.12,46.0,46.0,3.96,,12.0,0.709592641261498,0.35,0.47,0.0,0.0
Tom Platt,30,400,"6'1""",1,3732.0,13.1,"DM, M (C)",Darlington,ENG,,82 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.37,5.26,73.0,1,0.99,9.98,2.05,73.0,,69.0,1.47,0.65,1.61,9.98,8.37,5.26,85.0,,0.08,0.41,0.05,0.34,7.0,-0.07,29.0,29.0,4.49,,2.0,0.04823151125401929,0.09,0.02,0.0,0.0
Cuba Meyer,20,120,"5'9""",1,4350.0,13.0,WB (L),Peterborough Sports,NED,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.18,3.04,88.0,2,2.32,11.44,2.86,88.0,,63.0,2.05,0.89,-1.74,11.44,13.18,3.04,83.0,,0.16,1.22,1.08,8.26,7.67,-0.01,47.0,47.0,4.06,,4.0,0.08275862068965517,0.07,0.06,0.0,0.0
Jake Wright,27,350,"5'9""",1,717.0,13.8,ST (C),Buxton,ENG,,64 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.16,0.75,83.0,1,1.26,4.14,1.88,83.0,,22.0,0.88,0.38,-5.02,4.14,9.16,0.75,84.0,,0.06,1.26,0.0,1.0,0.0,0.21,50.0,50.0,3.01,,2.0,0.2510460251046025,0.22,0.63,0.0,0.0
Sam Walker,37,575,"5'9""",1,1081.0,12.8,"DM, M (C)",King's Lynn,ENG,,83 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.57,4.83,63.0,1,0.58,8.24,2.0,63.0,,59.0,1.33,0.42,-2.33,8.24,10.57,4.83,87.0,,0.05,0.17,0.33,2.58,7.75,0.18,46.0,46.0,2.41,,1.0,0.08325624421831637,0.07,0.25,0.0,0.0
Carl Walshe,30,0,"5'11""",1,296.0,0.0,AM (RL),Hardwicke,IRL,,58 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,100.0,0,0.0,0.0,0.3,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,0.2,0.0,0.0,0.0,0.0,-0.7,43.0,43.0,0.0,,0.0,0.0,0.7,0.0,0.0,0.0
Blair Adams,32,575,"5'11""",1,3757.0,13.0,D/WB (L),South Shields,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.06,6.61,84.0,2,2.25,12.38,2.2,84.0,,62.0,1.29,0.69,2.32,12.38,10.06,6.61,88.0,,0.18,1.03,0.81,4.29,5.26,-0.02,41.0,41.0,3.14,,3.0,0.07186585041256321,0.04,0.02,0.0,0.0
