Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
David Moyo,29,350,"6'0""",1,2150.0,12.5,"AM (L), ST (C)",Chorley,ZIM,,89 kg,€500 - €8K,,0.0,0.0,0.0,0.0,,0.0,,,8.2,1.21,83.0,1,1.55,6.03,1.26,83.0,,31.0,0.63,0.25,-2.17,6.03,8.2,1.21,83.0,,0.12,1.51,0.33,1.88,5.62,-0.04,47.0,47.0,4.31,,7.0,0.2930232558139535,0.37,0.42,0.0,0.0
Brandon Griffiths,26,0,"5'10""",1,2639.0,0.2,"AM (L), ST (C)",Caerau Ely,WAL,,60 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.24,0.0,55.0,0,0.0,0.03,0.72,55.0,,0.0,0.0,0.0,-0.21,0.03,0.24,0.0,56.0,,0.08,0.0,0.0,0.0,0.0,0.18,45.0,45.0,0.0,,0.0,0.0,0.2,0.38,0.0,0.0
Kennedy Digie,27,350,"6'3""",1,1215.0,10.9,D (C),Alfreton,ENG,,88 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.19,3.11,88.0,1,1.33,13.78,1.04,88.0,,77.0,1.78,0.52,4.59,13.78,9.19,3.11,78.0,,0.07,0.0,0.0,0.15,0.0,0.07,57.0,57.0,8.59,,0.0,0.0,0.08,0.15,0.0,0.0
Frank Mulhern,27,400,"5'11""",1,1522.0,12.6,ST (C),Scarborough Athletic,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.35,0.83,58.0,1,0.83,4.49,0.83,58.0,,26.0,0.47,0.12,-5.86,4.49,10.35,0.83,86.0,,0.15,0.59,0.35,1.66,4.67,0.12,46.0,46.0,3.96,,12.0,0.709592641261498,0.35,0.47,0.0,0.0
Tom Platt,30,400,"6'1""",1,3732.0,13.1,"DM, M (C)",Darlington,ENG,,82 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.37,5.26,73.0,1,0.99,9.98,2.05,73.0,,69.0,1.47,0.65,1.61,9.98,8.37,5.26,85.0,,0.08,0.41,0.05,0.34,7.0,-0.07,29.0,29.0,4.49,,2.0,0.04823151125401929,0.09,0.02,0.0,0.0
Cuba Meyer,20,120,"5'9""",1,4350.0,13.0,WB (L),Peterborough Sports,NED,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.18,3.04,88.0,2,2.32,11.44,2.86,88.0,,63.0,2.05,0.89,-1.74,11.44,13.18,3.04,83.0,,0.16,1.22,1.08,8.26,7.67,-0.01,47.0,47.0,4.06,,4.0,0.08275862068965517,0.07,0.06,0.0,0.0
Sam Walker,37,575,"5'9""",1,1081.0,12.8,"DM, M (C)",King's Lynn,ENG,,83 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.57,4.83,63.0,1,0.58,8.24,2.0,63.0,,59.0,1.33,0.42,-2.33,8.24,10.57,4.83,87.0,,0.05,0.17,0.33,2.58,7.75,0.18,46.0,46.0,2.41,,1.0,0.08325624421831637,0.07,0.25,0.0,0.0
Tom Allan,29,350,"6'4""",1,3819.0,11.4,D (C),Farsley,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.69,5.18,76.0,1,1.08,12.84,1.3,76.0,,78.0,2.0,0.68,1.15,12.84,11.69,5.18,80.0,,0.06,0.24,0.19,1.6,8.5,0.04,46.0,46.0,7.14,,0.0,0.0,0.03,0.07,0.0,0.0
Jordan Cullinane-Liburd,28,230,"6'3""",1,1832.0,12.5,D (C),Tamworth,ENG,,98 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,16.65,6.24,86.0,2,2.41,16.8,2.8,86.0,,79.0,2.8,0.44,0.15,16.8,16.65,6.24,82.0,,0.06,0.39,0.25,2.26,9.2,0.01,40.0,40.0,6.24,,0.0,0.0,0.04,0.05,0.0,0.0
