Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Fidel O'Rourke,22,425,"5'10""",1,1854.0,12.5,"AM (RL), ST (C)",Chorley,ENG,,70 kg,€500 - €5K,,0.0,0.0,0.0,0.0,,0.0,,,7.38,1.8,92.0,1,1.46,4.42,1.75,92.0,,12.0,0.92,0.24,-2.96,4.42,7.38,1.8,86.0,,0.24,1.6,0.29,2.04,7.0,-0.03,52.0,52.0,1.26,,10.0,0.48543689320388356,0.32,0.29,0.0,0.0
Colm Deasy,27,0,"5'9""",1,360.0,11.9,D/WB (R),Malahide Utd,IRL,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.75,5.25,75.0,1,1.5,31.0,1.5,75.0,,65.0,1.5,0.25,20.25,31.0,10.75,5.25,81.0,,0.05,1.0,0.0,3.25,0.0,-0.29,20.0,20.0,4.25,,0.0,0.0,0.29,0.0,0.0,0.0
Brandon Griffiths,26,0,"5'10""",1,2639.0,0.2,"AM (L), ST (C)",Caerau Ely,WAL,,60 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.24,0.0,55.0,0,0.0,0.03,0.72,55.0,,0.0,0.0,0.0,-0.21,0.03,0.24,0.0,56.0,,0.08,0.0,0.0,0.0,0.0,0.18,45.0,45.0,0.0,,0.0,0.0,0.2,0.38,0.0,0.0
Craig Donnellan,27,0,"5'9""",1,450.0,12.0,"DM, M (C)",Col Corinthians,IRL,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.2,4.2,87.0,1,1.4,16.0,2.6,87.0,,35.0,0.6,0.0,1.8,16.0,14.2,4.2,84.0,,0.06,0.4,0.0,1.4,0.0,0.12,50.0,50.0,1.6,,1.0,0.2,0.08,0.2,0.0,0.0
James English,32,0,"6'1""",1,360.0,0.0,"AM (R), ST (C)",Ayrfield Utd,IRL,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,75.0,0,0.0,0.0,1.5,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,0.18,0.0,0.0,0.0,0.0,0.28,50.0,50.0,0.0,,0.0,0.0,0.22,0.5,0.0,0.0
Kennedy Digie,27,350,"6'3""",1,1215.0,10.9,D (C),Alfreton,ENG,,88 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.19,3.11,88.0,1,1.33,13.78,1.04,88.0,,77.0,1.78,0.52,4.59,13.78,9.19,3.11,78.0,,0.07,0.0,0.0,0.15,0.0,0.07,57.0,57.0,8.59,,0.0,0.0,0.08,0.15,0.0,0.0
John Currie,30,0,"5'6""",1,360.0,0.0,M (C),Galway Hibs,NIR,,68 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,75.0,1,0.0,0.0,2.25,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.22,50.0,50.0,0.0,,0.0,0.0,0.03,0.25,0.0,0.0
Vasyl Tropanets,23,150,"5'10""",1,102.0,11.0,AM (L),Longford,UKR,,68 kg,€18K,,0.0,0.0,0.0,0.0,,0.0,,,14.12,5.29,100.0,2,0.88,3.53,4.41,100.0,,50.0,1.76,0.0,-10.59,3.53,14.12,5.29,63.0,,0.0,0.88,0.0,5.29,0.0,0.69,50.0,50.0,3.53,,0.0,0.0,0.19,0.88,0.0,0.0
Frank Mulhern,27,400,"5'11""",1,1522.0,12.6,ST (C),Scarborough Athletic,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.35,0.83,58.0,1,0.83,4.49,0.83,58.0,,26.0,0.47,0.12,-5.86,4.49,10.35,0.83,86.0,,0.15,0.59,0.35,1.66,4.67,0.12,46.0,46.0,3.96,,12.0,0.709592641261498,0.35,0.47,0.0,0.0
