Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Sam Hine,17,0,,4,456.0,10.5,"AM (L), ST (C)",,ENG,,,€0,,0.0,0.0,0.0,0.0,,0.0,,,6.91,0.59,100.0,0,0.59,2.37,0.79,100.0,,22.0,0.39,0.0,-4.54,,6.91,0.59,89.0,,0.06,1.18,0.39,1.18,300.0,-0.17,22.0,22.0,1.18,,0.0,0.0,0.17,0.0,0.0,0.0
Rhys Hughes,25,550,"6'1""",4,1374.0,12.7,"M (C), AM (RLC)",Tamworth,,,,,,0.0,0.0,0.0,0.0,,0.0,,,16.38,2.95,84.0,1,1.64,5.7,1.7,84.0,,19.0,1.38,0.2,-10.68,,16.38,2.95,88.0,,0.09,1.11,0.2,3.08,1566.6666666666665,-0.05,25.0,25.0,0.85,,2.0,0.13100436681222707,0.05,0.0,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,930.7692307692308,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Luke James,32,700,"6'0""",4,1233.0,13.5,"AM (L), ST (C)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,1.53,83.0,1,0.66,5.69,2.55,83.0,,17.0,1.09,0.58,-6.569999999999999,,12.26,1.53,84.0,,0.17,2.12,0.58,3.28,562.5,-0.06,32.0,32.0,1.53,,8.0,0.5839416058394161,0.21,0.15,0.0,0.0
Billy Stedman,27,170,"5'6""",4,651.0,12.1,AM (R),Newtown,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.52,1.8,75.0,1,1.8,5.12,1.66,75.0,,30.0,1.24,0.28,-9.399999999999999,,14.52,1.8,86.0,,0.19,2.07,0.97,4.98,514.2857142857143,0.4,57.0,57.0,1.94,,0.0,0.0,0.15,0.55,0.0,0.0
Amarie Brown,23,0,"5'9""",4,591.0,11.8,M (R),Bala,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.1,2.44,93.0,1,2.13,5.63,1.98,93.0,,30.0,0.61,0.3,-7.47,,13.1,2.44,84.0,,0.22,2.44,2.13,17.82,835.7142857142858,-0.22,13.0,13.0,1.98,,2.0,0.3045685279187817,0.22,0.0,0.0,0.0
Matthew Castillo-Anderson,23,0,"5'3""",4,3464.0,12.7,M/AM (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.77,2.75,72.0,1,1.56,6.0,1.09,72.0,,14.0,0.73,0.18,-3.7699999999999996,,9.77,2.75,85.0,,0.11,1.35,0.21,0.99,475.0,0.010000000000000009,39.0,39.0,0.55,,3.0,0.0779445727482679,0.09,0.1,0.0,0.0
Jaheim Allen,21,0,"5'7""",4,3406.0,13.0,AM (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.45,1.64,82.0,2,1.72,7.53,2.99,82.0,,22.0,1.19,0.34,-5.919999999999999,,13.45,1.64,83.0,,0.12,3.25,0.61,5.84,960.8695652173913,-0.01999999999999999,47.0,47.0,1.61,,10.0,0.26423957721667646,0.15,0.13,0.0,0.0
Leon Baker,22,0,"5'6""",4,306.0,15.6,M (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.94,4.12,56.0,1,0.88,7.06,2.65,56.0,,28.0,0.88,0.0,-5.88,,12.94,4.12,80.0,,0.1,1.18,0.0,3.24,0.0,-0.21,33.0,33.0,1.47,,1.0,0.29411764705882354,0.21,0.0,0.0,0.0
Harvey Kirby-Moore,20,275,"5'11""",4,162.0,11.9,ST (C),Buxton,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.89,0.56,67.0,1,0.0,1.67,1.11,67.0,,6.0,1.11,0.0,-12.22,,13.89,0.56,83.0,,0.07,1.11,0.0,1.67,0.0,0.43000000000000005,100.0,100.0,0.56,,1.0,0.5555555555555556,0.13,0.56,0.0,0.0
Hari Roberts,20,65,"5'3""",4,1270.0,12.9,M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.73,2.27,83.0,2,2.06,8.79,2.41,83.0,,14.0,1.63,0.28,-6.940000000000001,,15.73,2.27,82.0,,0.1,2.2,0.5,7.94,1600.0,0.07,30.0,30.0,0.78,,2.0,0.14173228346456693,0.07,0.14,0.0,0.0
