Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Haydn Tollitt,18,50,,4,3138.0,12.7,"M/AM (RC), ST (C)",,ENG,,,€2K - €4.5K,,0.0,0.0,0.0,0.0,,0.0,,,8.23,1.98,75.0,1,1.38,5.36,1.09,75.0,,14.0,1.46,0.17,-2.87,5.36,8.23,1.98,91.0,,0.11,1.09,0.46,1.95,4.25,0.06,48.0,48.0,0.34,,4.0,0.11472275334608031,0.17,0.23,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,10.59,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,9.31,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Luke James,32,700,"6'0""",4,1233.0,13.5,"AM (L), ST (C)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,1.53,83.0,1,0.66,5.69,2.55,83.0,,17.0,1.09,0.58,-6.57,5.69,12.26,1.53,84.0,,0.17,2.12,0.58,3.28,5.62,-0.06,32.0,32.0,1.53,,8.0,0.5839416058394161,0.21,0.15,0.0,0.0
Billy Stedman,27,170,"5'6""",4,651.0,12.1,AM (R),Newtown,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.52,1.8,75.0,1,1.8,5.12,1.66,75.0,,30.0,1.24,0.28,-9.4,5.12,14.52,1.8,86.0,,0.19,2.07,0.97,4.98,5.14,0.4,57.0,57.0,1.94,,0.0,0.0,0.15,0.55,0.0,0.0
Aaron Drewe,26,400,"5'9""",4,1498.0,12.6,D (R),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.28,3.54,84.0,2,2.28,12.32,3.06,84.0,,46.0,2.58,0.6,-0.96,12.32,13.28,3.54,82.0,,0.14,0.96,0.6,5.71,9.5,0.04,100.0,100.0,3.18,,2.0,0.12016021361815753,0.02,0.06,0.0,0.0
Shane Barnes,29,0,"5'9""",4,781.0,11.0,ST (C),Crumlin Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,18.55,0.46,60.0,1,1.27,3.57,0.35,60.0,,17.0,0.46,0.35,-14.98,3.57,18.55,0.46,87.0,,0.19,0.58,0.0,0.35,0.0,0.14,44.0,44.0,1.73,,8.0,0.9218950064020485,0.32,0.46,0.0,0.0
Gareth McCaffrey,31,0,"5'10""",4,515.0,11.1,ST (C),St. Mochtas,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.38,0.52,100.0,1,0.87,4.19,1.05,100.0,,23.0,0.35,0.35,-11.19,4.19,15.38,0.52,87.0,,0.13,0.87,0.0,0.7,0.0,0.34,58.0,58.0,2.8,,4.0,0.6990291262135923,0.36,0.7,0.0,0.0
Connor Wood,30,400,"5'10""",4,3920.0,12.7,D/WB (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.59,4.82,80.0,2,1.56,12.21,3.15,80.0,,49.0,2.23,0.92,-1.38,12.21,13.59,4.82,81.0,,0.1,0.55,1.12,6.5,5.78,0.04,47.0,47.0,2.46,,6.0,0.1377551020408163,0.04,0.16,0.0,0.0
Amarie Brown,23,0,"5'9""",4,591.0,11.8,M (R),Bala,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.1,2.44,93.0,1,2.13,5.63,1.98,93.0,,30.0,0.61,0.3,-7.47,5.63,13.1,2.44,84.0,,0.22,2.44,2.13,17.82,8.36,-0.22,13.0,13.0,1.98,,2.0,0.3045685279187817,0.22,0.0,0.0,0.0
Matthew Castillo-Anderson,23,0,"5'3""",4,3464.0,12.7,M/AM (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.77,2.75,72.0,1,1.56,6.0,1.09,72.0,,14.0,0.73,0.18,-3.77,6.0,9.77,2.75,85.0,,0.11,1.35,0.21,0.99,4.75,0.01,39.0,39.0,0.55,,3.0,0.0779445727482679,0.09,0.1,0.0,0.0
Jaheim Allen,21,0,"5'7""",4,3406.0,13.0,AM (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.45,1.64,82.0,2,1.72,7.53,2.99,82.0,,22.0,1.19,0.34,-5.92,7.53,13.45,1.64,83.0,,0.12,3.25,0.61,5.84,9.61,-0.02,47.0,47.0,1.61,,10.0,0.26423957721667646,0.15,0.13,0.0,0.0
Leon Baker,22,0,"5'6""",4,306.0,15.6,M (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.94,4.12,56.0,1,0.88,7.06,2.65,56.0,,28.0,0.88,0.0,-5.88,7.06,12.94,4.12,80.0,,0.1,1.18,0.0,3.24,0.0,-0.21,33.0,33.0,1.47,,1.0,0.29411764705882354,0.21,0.0,0.0,0.0
Harvey Kirby-Moore,20,275,"5'11""",4,162.0,11.9,ST (C),Buxton,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.89,0.56,67.0,1,0.0,1.67,1.11,67.0,,6.0,1.11,0.0,-12.22,1.67,13.89,0.56,83.0,,0.07,1.11,0.0,1.67,0.0,0.43,100.0,100.0,0.56,,1.0,0.5555555555555556,0.13,0.56,0.0,0.0
Cenk Grocott,19,45,"6'1""",4,188.0,11.6,"AM (RL), ST (C)",Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,19.63,0.48,100.0,1,1.44,0.48,0.48,100.0,,13.0,0.0,0.48,-19.15,0.48,19.63,0.48,88.0,,0.2,0.96,0.0,0.0,0.0,0.36,100.0,100.0,0.96,,2.0,0.9574468085106382,0.12,0.48,0.0,0.0
Hari Roberts,20,65,"5'3""",4,1270.0,12.9,M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.73,2.27,83.0,2,2.06,8.79,2.41,83.0,,14.0,1.63,0.28,-6.94,8.79,15.73,2.27,82.0,,0.1,2.2,0.5,7.94,16.0,0.07,30.0,30.0,0.78,,2.0,0.14173228346456693,0.07,0.14,0.0,0.0
David Abimbola,21,0,"6'1""",4,928.0,12.2,ST (C),Warrington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.63,0.68,73.0,1,1.07,3.98,0.78,73.0,,21.0,1.16,0.19,-4.65,3.98,8.63,0.68,87.0,,0.13,1.45,0.19,1.75,9.0,0.17,33.0,33.0,2.33,,8.0,0.7758620689655172,0.22,0.39,0.0,0.0
Haydn Winslade,17,6,"5'7""",4,111.0,13.1,"M (RC), AM (R)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,6.49,0.0,0.0,0,1.62,7.3,0.0,0.0,,0.0,0.0,0.0,0.81,7.3,6.49,0.0,95.0,,0.2,3.24,1.62,4.05,2.5,-0.13,0.0,0.0,0.0,,0.0,0.0,0.13,0.0,0.0,0.0
Liam Roberts,18,6,"5'9""",4,148.0,12.4,M/AM (RL),Chelmsford,,,,,,0.0,0.0,0.0,0.0,,0.0,,,28.58,2.43,100.0,2,1.22,0.0,3.65,100.0,,9.0,0.61,0.61,-28.58,0.0,28.58,2.43,89.0,,0.26,1.82,0.61,4.26,7.0,0.0,0.0,0.0,0.61,,0.0,0.0,0.0,0.0,0.0,0.0
Jonjoe Ruane,19,0,"5'8""",4,163.0,13.5,"M/AM (R), ST (C)",Caernarfon,,,,,,0.0,0.0,0.0,0.0,,0.0,,,17.12,0.0,100.0,0,0.0,0.0,0.55,100.0,,18.0,0.55,0.0,-17.12,0.0,17.12,0.0,90.0,,0.0,1.1,0.0,3.31,0.0,-0.07,100.0,100.0,1.1,,1.0,0.5521472392638037,0.07,0.0,0.0,0.0
Alexandre Manuel,19,0,"5'5""",4,3098.0,11.9,"M (RC), AM (R)",Darlington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,17.14,3.43,90.0,1,1.71,4.33,1.86,90.0,,32.0,1.19,0.46,-12.81,4.33,17.14,3.43,85.0,,0.16,0.87,0.12,1.02,8.75,0.04,41.0,41.0,1.16,,3.0,0.08715300193673338,0.05,0.09,0.0,0.0
