Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Jackson Kelly,20,0,,4,0.0,0.0,"AM (RC), ST (C)",,ENG,,,€0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Yalany Baio,32,0,"5'9""",4,2797.0,0.8,DM,Gresford,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.97,0.42,90.0,0,0.03,1.51,1.71,90.0,,27.0,0.06,0.0,0.54,1.51,0.97,0.42,72.0,,0.08,0.0,0.03,0.1,3.0,0.15,46.0,46.0,0.1,,0.0,0.0,0.04,0.19,0.0,0.0
Jordan Cropper,26,325,"5'11""",4,2014.0,12.3,D/WB/M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.48,3.57,88.0,2,2.23,14.97,2.73,88.0,,60.0,2.01,0.94,3.49,14.97,11.48,3.57,83.0,,0.08,0.13,0.31,1.97,6.29,-0.01,33.0,33.0,5.72,,1.0,0.04468718967229394,0.01,0.0,0.0,0.0
Rhys Hughes,25,550,"6'1""",4,1374.0,12.7,"M (C), AM (RLC)",Tamworth,,,,,,0.0,0.0,0.0,0.0,,0.0,,,16.38,2.95,84.0,1,1.64,5.7,1.7,84.0,,19.0,1.38,0.2,-10.68,5.7,16.38,2.95,88.0,,0.09,1.11,0.2,3.08,15.67,-0.05,25.0,25.0,0.85,,2.0,0.13100436681222707,0.05,0.0,0.0,0.0
David Ferguson,32,425,"5'11""",4,1152.0,11.3,"D (LC), WB/M (L)",Colwyn Bay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.88,4.92,77.0,2,1.33,11.41,2.11,77.0,,67.0,2.58,1.17,-0.47,11.41,11.88,4.92,82.0,,0.12,0.39,0.55,6.09,11.14,-0.05,0.0,0.0,4.06,,2.0,0.15625,0.05,0.0,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,10.59,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,9.31,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Dillon Morse,32,475,"6'0""",4,3996.0,10.7,D (C),FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.36,3.33,93.0,1,1.58,11.78,0.83,93.0,,70.0,2.12,0.5,3.42,11.78,8.36,3.33,84.0,,0.02,0.02,0.02,0.07,3.0,0.03,60.0,60.0,4.71,,2.0,0.04504504504504504,0.02,0.05,0.0,0.0
Luke James,32,700,"6'0""",4,1233.0,13.5,"AM (L), ST (C)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,1.53,83.0,1,0.66,5.69,2.55,83.0,,17.0,1.09,0.58,-6.57,5.69,12.26,1.53,84.0,,0.17,2.12,0.58,3.28,5.62,-0.06,32.0,32.0,1.53,,8.0,0.5839416058394161,0.21,0.15,0.0,0.0
Reece Brown,31,1000,"5'9""",4,2159.0,12.1,"DM, M (C)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.5,4.04,77.0,1,1.46,7.09,0.96,77.0,,31.0,1.29,0.42,-2.41,7.09,9.5,4.04,86.0,,0.11,0.58,0.38,1.25,3.33,-0.04,29.0,29.0,0.88,,0.0,0.0,0.04,0.0,0.0,0.0
