Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Aaron Chapman,36,500,,4,270.0,6.3,GK,,ENG,,,€0,,64.0,3.0,4.0,2.0,,0.0,,,7.33,2.67,0.0,0,0.0,11.0,0.0,0.0,,0.0,0.67,0.0,3.67,11.0,7.33,2.67,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.86,0.29
Reece Thompson,22,300,"6'1""",4,2636.0,4.7,GK,Flint Town,,,,,,72.0,27.0,63.0,18.0,,4.0,,,8.3,0.0,50.0,2,0.0,5.63,0.03,50.0,,0.0,8.4,0.0,-2.67,5.63,8.3,0.0,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.29,0.21
Adam Khan,21,0,"6'0""",4,467.0,4.5,GK,Darlington,,,,,,69.0,1.0,6.0,2.0,,4.0,,,4.63,0.0,0.0,2,0.0,2.7,0.0,0.0,,0.0,7.71,0.0,-1.93,2.7,4.63,0.0,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.89,0.17
Josh Shattell,20,160,"6'3""",4,810.0,4.3,GK,AFC Telford,,,,,,76.0,14.0,11.0,8.0,,2.0,,,12.89,2.0,0.0,2,0.44,7.44,0.0,0.0,,0.0,7.33,0.0,-5.45,7.44,12.89,2.0,35.0,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.2,0.13
Daniel Cameron,21,575,"6'4""",4,3664.0,4.2,GK,Darlington,,,,,,70.0,34.0,69.0,19.0,,8.0,,,5.53,0.0,25.0,2,0.05,4.86,0.02,25.0,,0.0,8.94,0.0,-0.67,4.86,5.53,0.0,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.85,0.02
Rylee Mitchell,21,0,"6'4""",4,4101.0,4.1,GK,Macclesfield,,,,,,74.0,89.0,77.0,37.0,,7.0,,,16.5,1.12,24.0,3,0.5,9.04,0.09,24.0,,0.0,10.58,0.0,-7.46,9.04,16.5,1.12,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.42,0.01
Patrick Boyes,24,625,"6'3""",4,3555.0,4.2,GK,Marine,,,,,,73.0,82.0,77.0,26.0,,5.0,,,17.29,0.96,17.0,3,0.53,7.59,0.05,17.0,,0.0,10.51,0.0,-9.7,7.59,17.29,0.96,34.0,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.26,0.03
Ayo Shogbeni,23,120,"6'4""",4,614.0,10.7,D (C),Connah's Quay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,5.57,3.22,100.0,1,0.73,11.58,1.03,100.0,,82.0,2.05,0.15,6.01,11.58,5.57,3.22,82.0,,0.01,0.0,0.0,0.0,0.0,0.12,67.0,67.0,6.74,,0.0,0.0,0.03,0.15,0.0,0.0
Tony Whitehead,31,0,"6'0""",4,479.0,10.3,"D (C), DM",Ringmahon,,,,,,0.0,0.0,0.0,0.0,,0.0,,,2.82,4.13,88.0,2,1.13,16.53,1.32,88.0,,73.0,2.63,0.94,13.71,16.53,2.82,4.13,75.0,,0.0,0.0,0.0,0.0,0.0,-0.13,60.0,60.0,5.45,,0.0,0.0,0.13,0.0,0.0,0.0
