Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Yusuf Ulusoy,27,180,,4,832.0,13.2,D (L),,ENG,,,€0,,0.0,0.0,0.0,0.0,,0.0,,,11.14,8.0,71.0,1,1.84,10.06,1.62,71.0,,55.0,1.62,0.76,-1.08,10.06,11.14,8.0,89.0,,0.12,1.19,1.51,5.08,3.36,0.06,50.0,50.0,1.84,,1.0,0.10817307692307693,0.05,0.11,0.0,0.0
Jordan Cropper,26,325,"5'11""",4,2014.0,12.3,D/WB/M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.48,3.57,88.0,2,2.23,14.97,2.73,88.0,,60.0,2.01,0.94,3.49,14.97,11.48,3.57,83.0,,0.08,0.13,0.31,1.97,6.29,-0.01,33.0,33.0,5.72,,1.0,0.04468718967229394,0.01,0.0,0.0,0.0
Rhys Hughes,25,550,"6'1""",4,1374.0,12.7,"M (C), AM (RLC)",Tamworth,,,,,,0.0,0.0,0.0,0.0,,0.0,,,16.38,2.95,84.0,1,1.64,5.7,1.7,84.0,,19.0,1.38,0.2,-10.68,5.7,16.38,2.95,88.0,,0.09,1.11,0.2,3.08,15.67,-0.05,25.0,25.0,0.85,,2.0,0.13100436681222707,0.05,0.0,0.0,0.0
David Ferguson,32,425,"5'11""",4,1152.0,11.3,"D (LC), WB/M (L)",Colwyn Bay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.88,4.92,77.0,2,1.33,11.41,2.11,77.0,,67.0,2.58,1.17,-0.47,11.41,11.88,4.92,82.0,,0.12,0.39,0.55,6.09,11.14,-0.05,0.0,0.0,4.06,,2.0,0.15625,0.05,0.0,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,10.59,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,9.31,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Dillon Morse,32,475,"6'0""",4,3996.0,10.7,D (C),FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.36,3.33,93.0,1,1.58,11.78,0.83,93.0,,70.0,2.12,0.5,3.42,11.78,8.36,3.33,84.0,,0.02,0.02,0.02,0.07,3.0,0.03,60.0,60.0,4.71,,2.0,0.04504504504504504,0.02,0.05,0.0,0.0
Luke James,32,700,"6'0""",4,1233.0,13.5,"AM (L), ST (C)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,1.53,83.0,1,0.66,5.69,2.55,83.0,,17.0,1.09,0.58,-6.57,5.69,12.26,1.53,84.0,,0.17,2.12,0.58,3.28,5.62,-0.06,32.0,32.0,1.53,,8.0,0.5839416058394161,0.21,0.15,0.0,0.0
Adam Crookes,29,425,"6'0""",4,2163.0,12.0,D (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.15,3.16,74.0,2,2.12,12.52,1.62,74.0,,62.0,2.29,0.71,3.37,12.52,9.15,3.16,83.0,,0.02,0.25,0.08,1.04,12.5,-0.02,50.0,50.0,4.62,,0.0,0.0,0.02,0.0,0.0,0.0
Billy Stedman,27,170,"5'6""",4,651.0,12.1,AM (R),Newtown,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.52,1.8,75.0,1,1.8,5.12,1.66,75.0,,30.0,1.24,0.28,-9.4,5.12,14.52,1.8,86.0,,0.19,2.07,0.97,4.98,5.14,0.4,57.0,57.0,1.94,,0.0,0.0,0.15,0.55,0.0,0.0
Aaron Drewe,26,400,"5'9""",4,1498.0,12.6,D (R),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.28,3.54,84.0,2,2.28,12.32,3.06,84.0,,46.0,2.58,0.6,-0.96,12.32,13.28,3.54,82.0,,0.14,0.96,0.6,5.71,9.5,0.04,100.0,100.0,3.18,,2.0,0.12016021361815753,0.02,0.06,0.0,0.0
Kieran Farren,26,275,"6'2""",4,2642.0,11.3,D (RC),Scarborough Athletic,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.17,5.72,73.0,2,2.55,13.08,1.5,73.0,,52.0,1.77,0.37,1.91,13.08,11.17,5.72,87.0,,0.03,0.41,0.14,2.01,14.75,-0.03,9.0,9.0,3.82,,2.0,0.06813020439061317,0.03,0.0,0.0,0.0
Amarie Brown,23,0,"5'9""",4,591.0,11.8,M (R),Bala,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.1,2.44,93.0,1,2.13,5.63,1.98,93.0,,30.0,0.61,0.3,-7.47,5.63,13.1,2.44,84.0,,0.22,2.44,2.13,17.82,8.36,-0.22,13.0,13.0,1.98,,2.0,0.3045685279187817,0.22,0.0,0.0,0.0
Matthew Castillo-Anderson,23,0,"5'3""",4,3464.0,12.7,M/AM (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.77,2.75,72.0,1,1.56,6.0,1.09,72.0,,14.0,0.73,0.18,-3.77,6.0,9.77,2.75,85.0,,0.11,1.35,0.21,0.99,4.75,0.01,39.0,39.0,0.55,,3.0,0.0779445727482679,0.09,0.1,0.0,0.0
Jaheim Allen,21,0,"5'7""",4,3406.0,13.0,AM (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.45,1.64,82.0,2,1.72,7.53,2.99,82.0,,22.0,1.19,0.34,-5.92,7.53,13.45,1.64,83.0,,0.12,3.25,0.61,5.84,9.61,-0.02,47.0,47.0,1.61,,10.0,0.26423957721667646,0.15,0.13,0.0,0.0
Ryan Hand,22,450,"5'11""",4,3510.0,11.7,D (LC),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.05,4.03,73.0,2,1.59,13.18,2.9,73.0,,72.0,1.9,1.08,1.13,13.18,12.05,4.03,80.0,,0.07,0.21,0.28,1.56,5.55,0.0,37.0,37.0,7.59,,2.0,0.05128205128205128,0.03,0.03,0.0,0.0
Harry Revill,19,250,"5'11""",4,2309.0,11.0,D (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.64,3.47,71.0,1,1.6,10.6,0.94,71.0,,51.0,2.77,0.31,2.96,10.6,7.64,3.47,83.0,,0.0,0.04,0.0,0.08,0.0,-0.01,33.0,33.0,3.35,,0.0,0.0,0.01,0.0,0.0,0.0
Will Nicholson,20,120,"6'1""",4,1488.0,11.8,D (LC),Farsley,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.74,4.35,72.0,1,1.57,15.18,1.09,72.0,,70.0,2.06,0.67,5.44,15.18,9.74,4.35,79.0,,0.04,0.06,0.0,0.18,0.0,0.01,63.0,63.0,7.2,,0.0,0.0,0.05,0.06,0.0,0.0
Hari Roberts,20,65,"5'3""",4,1270.0,12.9,M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.73,2.27,83.0,2,2.06,8.79,2.41,83.0,,14.0,1.63,0.28,-6.94,8.79,15.73,2.27,82.0,,0.1,2.2,0.5,7.94,16.0,0.07,30.0,30.0,0.78,,2.0,0.14173228346456693,0.07,0.14,0.0,0.0
Alfie Atherton,21,0,"5'7""",4,889.0,13.8,"DM, M (RC)",Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.74,3.64,75.0,2,2.02,7.9,2.43,75.0,,16.0,1.82,0.2,-3.84,7.9,11.74,3.64,85.0,,0.06,1.62,0.4,6.18,15.25,0.03,33.0,33.0,0.91,,3.0,0.30371203599550056,0.07,0.1,0.0,0.0
Will Constantin,22,475,"5'10""",4,2437.0,12.6,D/WB (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.0,3.25,79.0,2,2.88,14.44,2.88,79.0,,45.0,2.7,0.7,1.44,14.44,13.0,3.25,80.0,,0.07,0.66,0.52,3.91,7.57,-0.02,23.0,23.0,3.55,,1.0,0.03693065244152646,0.02,0.0,0.0,0.0
Haydn Winslade,17,6,"5'7""",4,111.0,13.1,"M (RC), AM (R)",FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,6.49,0.0,0.0,0,1.62,7.3,0.0,0.0,,0.0,0.0,0.0,0.81,7.3,6.49,0.0,95.0,,0.2,3.24,1.62,4.05,2.5,-0.13,0.0,0.0,0.0,,0.0,0.0,0.13,0.0,0.0,0.0
Alexandre Manuel,19,0,"5'5""",4,3098.0,11.9,"M (RC), AM (R)",Darlington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,17.14,3.43,90.0,1,1.71,4.33,1.86,90.0,,32.0,1.19,0.46,-12.81,4.33,17.14,3.43,85.0,,0.16,0.87,0.12,1.02,8.75,0.04,41.0,41.0,1.16,,3.0,0.08715300193673338,0.05,0.09,0.0,0.0
