Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Zaine Francis-Angol,33,525,,4,2865.0,13.2,"D (LC), WB (L)",,ATG,,,€0,,0.0,0.0,0.0,0.0,,0.0,,,11.75,5.4,72.0,1,1.45,9.74,1.54,72.0,,57.0,1.48,0.75,-2.01,9.74,11.75,5.4,89.0,,0.21,1.41,1.26,8.23,6.55,0.02,60.0,60.0,2.45,,6.0,0.1884816753926702,0.04,0.06,0.0,0.0
Jordan Cropper,26,325,"5'11""",4,2014.0,12.3,D/WB/M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.48,3.57,88.0,2,2.23,14.97,2.73,88.0,,60.0,2.01,0.94,3.49,14.97,11.48,3.57,83.0,,0.08,0.13,0.31,1.97,6.29,-0.01,33.0,33.0,5.72,,1.0,0.04468718967229394,0.01,0.0,0.0,0.0
David Ferguson,32,425,"5'11""",4,1152.0,11.3,"D (LC), WB/M (L)",Colwyn Bay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.88,4.92,77.0,2,1.33,11.41,2.11,77.0,,67.0,2.58,1.17,-0.47,11.41,11.88,4.92,82.0,,0.12,0.39,0.55,6.09,11.14,-0.05,0.0,0.0,4.06,,2.0,0.15625,0.05,0.0,0.0,0.0
Declan John,31,350,"5'10""",4,3347.0,12.8,D/WB/M/AM (L),Radcliffe,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.26,4.33,78.0,2,2.07,10.59,2.1,78.0,,43.0,1.34,0.94,-1.67,10.59,12.26,4.33,86.0,,0.13,1.43,0.7,6.51,9.31,-0.03,39.0,39.0,1.91,,3.0,0.0806692560501942,0.03,0.0,0.0,0.0
Matty Douglas,29,300,"6'3""",4,3699.0,11.3,D (RC),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,10.68,2.97,81.0,1,1.27,13.55,1.87,81.0,,71.0,1.97,0.61,2.87,13.55,10.68,2.97,82.0,,0.04,0.1,0.17,1.39,8.14,-0.01,41.0,41.0,6.57,,0.0,0.0,0.03,0.02,0.0,0.0
Billy Stedman,27,170,"5'6""",4,651.0,12.1,AM (R),Newtown,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.52,1.8,75.0,1,1.8,5.12,1.66,75.0,,30.0,1.24,0.28,-9.4,5.12,14.52,1.8,86.0,,0.19,2.07,0.97,4.98,5.14,0.4,57.0,57.0,1.94,,0.0,0.0,0.15,0.55,0.0,0.0
Aaron Drewe,26,400,"5'9""",4,1498.0,12.6,D (R),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.28,3.54,84.0,2,2.28,12.32,3.06,84.0,,46.0,2.58,0.6,-0.96,12.32,13.28,3.54,82.0,,0.14,0.96,0.6,5.71,9.5,0.04,100.0,100.0,3.18,,2.0,0.12016021361815753,0.02,0.06,0.0,0.0
Kieran Farren,26,275,"6'2""",4,2642.0,11.3,D (RC),Scarborough Athletic,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.17,5.72,73.0,2,2.55,13.08,1.5,73.0,,52.0,1.77,0.37,1.91,13.08,11.17,5.72,87.0,,0.03,0.41,0.14,2.01,14.75,-0.03,9.0,9.0,3.82,,2.0,0.06813020439061317,0.03,0.0,0.0,0.0
Connor Wood,30,400,"5'10""",4,3920.0,12.7,D/WB (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.59,4.82,80.0,2,1.56,12.21,3.15,80.0,,49.0,2.23,0.92,-1.38,12.21,13.59,4.82,81.0,,0.1,0.55,1.12,6.5,5.78,0.04,47.0,47.0,2.46,,6.0,0.1377551020408163,0.04,0.16,0.0,0.0
Amarie Brown,23,0,"5'9""",4,591.0,11.8,M (R),Bala,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.1,2.44,93.0,1,2.13,5.63,1.98,93.0,,30.0,0.61,0.3,-7.47,5.63,13.1,2.44,84.0,,0.22,2.44,2.13,17.82,8.36,-0.22,13.0,13.0,1.98,,2.0,0.3045685279187817,0.22,0.0,0.0,0.0
Bailey Sloane,24,300,"6'3""",4,563.0,11.1,D (LC),Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.95,6.07,100.0,1,1.92,14.87,1.44,100.0,,69.0,1.92,0.48,5.92,14.87,8.95,6.07,84.0,,0.02,0.0,0.0,1.12,0.0,-0.05,33.0,33.0,4.96,,0.0,0.0,0.05,0.0,0.0,0.0
Matthew Castillo-Anderson,23,0,"5'3""",4,3464.0,12.7,M/AM (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.77,2.75,72.0,1,1.56,6.0,1.09,72.0,,14.0,0.73,0.18,-3.77,6.0,9.77,2.75,85.0,,0.11,1.35,0.21,0.99,4.75,0.01,39.0,39.0,0.55,,3.0,0.0779445727482679,0.09,0.1,0.0,0.0
