UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
2000045043,Callum Sullivan,"D (RL), WB (R)",21,,0,425,Balanced,30/6/2026,"3,232",,,0,53,86.0,75%,83.0,12.53,14.81,83.0,86.0,1.43,0.0,1.43,0.11,0.53,26%
28049315,Zaine Francis-Angol,"D (LC), WB (L)",32,,0,525,Balanced,30/6/2027,"2,856",,,0,53,87.0,64%,83.0,14.37,12.29,83.0,87.0,1.64,0.0,1.64,0.25,0.54,41%
29123316,Alex Fletcher,"DM, M (C)",29,,0,525,Balanced,30/6/2026,"3,034",,,0,53,90.0,40%,73.0,8.25,5.78,73.0,90.0,1.2,0.0,1.2,0.08,0.86,48%
29188481,Callum Thompson,"M (R), AM (RC)",24,,0,210,Ambitious,30/6/2026,"1,875",,,0,53,86.0,35%,77.0,15.50,5.76,77.0,86.0,3.32,0.0,3.32,0.24,1.54,34%
29217235,Connor Shanks,"M (L), AM (RL), ST (C)",24,,0,500,Balanced,30/6/2026,"1,419",,,0,53,85.0,24%,83.0,14.08,6.34,83.0,85.0,4.38,0.0,4.38,0.20,1.27,40%
2000050851,Cian Spencer-McDermott,"M (RC), AM (RLC)",23,,0,250,Balanced,30/6/2026,"2,614",,,0,53,87.0,31%,77.0,12.39,6.23,77.0,87.0,3.63,0.0,3.63,0.14,1.62,45%
2000051052,Dylan Youmbi,"AM (RLC), ST (C)",22,,0,0,Fairly Determined,-,936,,,0,53,86.0,36%,79.0,14.52,5.10,79.0,86.0,3.88,0.0,3.88,0.11,1.44,40%
61071573,Justin Johnson,M/AM (RL),29,,0,700,Balanced,30/6/2026,"2,802",,,0,53,88.0,8%,86.0,13.94,4.27,86.0,88.0,3.24,0.0,3.24,0.18,1.22,50%
29240055,Will Trueman,"M/AM (C), ST (C)",23,,0,160,Balanced,30/6/2026,"1,503",,,0,53,89.0,29%,74.0,8.80,4.85,74.0,89.0,1.02,0.0,1.02,0.17,0.96,38%
29163844,Nathan Tshikuna,M/AM (C),25,"5'10""",0,180,,30/6/2024,2461,Tamworth,Vanarama National League North,1,51,85.0,23%,72.0,8.89,6.29,72.0,85.0,1.42,0.0,1.42,0.11,1.76,42%
29151021,Cameron Salkeld,"WB (R), M/AM (RL), ST (C)",25,"6'0""",0,475,,30/6/2024,1106,Darlington,Vanarama National League North,1,49,85.0,39%,78.0,14.4,10.17,78.0,85.0,2.16,0.0,2.16,0.2,0.49,17%
215477,Alex Babos,"DM, M/AM (C)",25,"5'9""",0,475,,30/6/2024,3341,Hereford,Vanarama National League North,1,50,84.0,21%,72.0,10.8,6.33,72.0,84.0,1.8,0.0,1.8,0.15,1.10,54%
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81.0,59%,74.0,19.97,14.95,74.0,81.0,3.37,0.0,3.37,0.17,0.62,33%
29139669,Dan Turner,"AM (RL), ST (C)",25,"5'11""","1,100",475,,30/6/2024,1582,Brackley,Vanarama National League North,1,45,88.0,10%,72.0,9.1,5.23,72.0,88.0,2.12,0.0,2.12,0.12,1.65,41%
2000053510,Jay Haddow,D/WB (R),20,"6'1""",0,575,,30/6/2025,2731,Southport,Vanarama National League North,1,50,79.0,74%,77.0,13.87,14.47,77.0,79.0,1.22,0.0,1.22,0.17,0.53,13%
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82.0,74%,78.0,20.57,14.61,78.0,82.0,2.56,0.0,2.56,0.23,1.01,38%
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83.0,73%,84.0,8.35,13.09,84.0,83.0,1.09,0.0,1.09,0.04,1.38,29%
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85.0,73%,78.0,12.28,16.71,78.0,85.0,1.16,0.0,1.16,0.23,0.38,15%
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71%,82.0,16.07,11.62,82.0,84.0,1.48,0.0,1.48,0.18,1.68,34%
29139507,George Fowler,D (RC),26,"6'1""",0,575,,30/6/2024,1890,Maidstone,Vanarama National League South,1,50,82.0,70%,86.0,18.1,9.62,86.0,82.0,1.19,0.0,1.19,0.07,0.48,0%
29071976,Sam Minihan,D (R),30,"5'9""",0,350,,30/6/2024,3666,Buxton,Vanarama National League North,1,48,79.0,68%,85.0,17.23,14.98,85.0,79.0,1.61,0.0,1.61,0.22,0.88,42%
29179541,Jack James,D/WB (R),24,"6'1""",0,350,,30/6/2024,3506,St. Albans,Vanarama National League South,1,50,82.0,68%,77.0,14.25,8.86,77.0,82.0,1.44,0.0,1.44,0.07,1.08,21%
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81.0,66%,87.0,12.43,12.48,87.0,81.0,1.31,0.0,1.31,0.06,0.17,43%
89061033,George Carline,D/WB (R),31,"6'2""",0,825,,30/6/2024,2711,Brackley,Vanarama National League North,1,45,82.0,65%,79.0,16.23,14.31,79.0,82.0,1.09,0.0,1.09,0.15,0.43,54%
29219537,Brad Nicholson,D (LC),25,"6'2""",0,325,,30/6/2025,2092,Boston Utd,Vanarama National League North,1,58,82.0,65%,78.0,13.25,14.07,78.0,82.0,1.38,0.0,1.38,0.13,0.56,31%
29083573,Bradley Barry,D/WB (R),29,"5'11""",0,"1,200",,30/6/2025,4771,Eastbourne Borough,Vanarama National League South,1,57,85.0,65%,83.0,15.36,11.81,83.0,85.0,1.8,0.0,1.8,0.18,0.43,43%
28059654,Will Hayhurst,D/WB (L),30,"5'9""",0,230,,30/6/2024,3868,Curzon Ashton,Vanarama National League North,1,46,81.0,64%,80.0,14.54,11.8,80.0,81.0,1.59,0.0,1.59,0.15,0.77,48%
