UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Tck R,Hdr %,Poss Won/90,Pr passes/90,Tck/90
28124744,Cardo Siddik,D (C),21,"6'3""",575,,30/6/2025,2101,Darlington,Vanarama National League North,0,51,85%,81.0,75.0,9.0,48.02,75.0,81.0,16.0,4.58,1.29
90049334,Will Thornton,D (C),26,"6'3""",350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,0,50,78%,72.0,76.0,11.88,42.58,76.0,72.0,12.17,4.45,0.98
29240127,Jack Davies,D (LC),21,"6'2""",180,,30/6/2024,1761,Banbury,Vanarama National League North,0,44,79%,78.0,85.0,12.73,37.77,85.0,78.0,13.05,3.63,1.18
31034672,Kyran Clements,D (C),27,"6'1""",350,,30/6/2024,4117,Gloucester,Vanarama National League North,0,48,84%,83.0,84.0,9.2,47.5,84.0,83.0,13.6,3.45,0.94
28118015,Harry Flowers,D (C),28,"6'5""",350,,30/6/2024,2789,Southport,Vanarama National League North,0,43,77%,79.0,83.0,10.84,36.63,83.0,79.0,13.59,2.9,0.77
28068604,Rudy Misambo,D (C),30,"6'4""",230,,30/6/2024,3980,Farsley,Vanarama National League North,0,47,76%,82.0,83.0,11.24,36.16,83.0,82.0,14.23,3.32,0.97
28100548,Kyle Howkins,D (C),28,"6'5""",475,,30/6/2024,3976,Hereford,Vanarama National League North,0,46,82%,82.0,74.0,8.62,39.66,74.0,82.0,12.14,2.9,1.09
29194271,Tom Leak,D (C),23,"6'2""",400,,30/6/2024,4106,Boston Utd,Vanarama National League North,0,54,87%,80.0,79.0,8.53,55.19,79.0,80.0,16.59,5.37,0.75
2000219406,Ashton Fox,D (C),21,"6'0""",575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,0,50,82%,80.0,75.0,9.64,42.56,75.0,80.0,14.71,3.9,0.75
29158250,Harvey Smith,D (C),25,"6'0""",400,,30/6/2024,3362,Chorley,Vanarama National League North,0,53,84%,80.0,80.0,9.69,49.23,80.0,80.0,13.89,5.09,1.26
