UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Pr passes/90,xpG_diff,Sprints/90,Shot/90,Shot %
28085969,George Glendon,M (C),29,"5'10""",875,,30/6/2024,4365,Chester,Vanarama National League North,0,56,89.0,47.0,84.0,10.62,45.05,89.0,4.66,0.01,7.79,1.57,30%
2000144681,Engwau Oduka,"D (C), DM, M (C)",19,"6'2""",350,,30/6/2025,3395,King's Lynn,Vanarama National League North,0,46,87.0,47.0,80.0,5.79,44.32,87.0,3.95,0.04,9.04,0.56,33%
2000125526,Finley Barbrook,"DM, M (C)",19,"6'0""",350,,30/6/2025,3218,Tonbridge,Vanarama National League South,0,48,87.0,46.0,74.0,4.88,42.96,87.0,3.47,0.01,9.48,0.59,10%
90091780,Connor Woods,AM (R),26,"5'8""",350,,30/6/2024,3734,Warrington,Vanarama National League North,0,46,84.0,45.0,85.0,14.68,26.37,84.0,3.18,0.05,12.2,1.83,36%
2000144685,Josh Home,"DM, M (C)",18,"5'9""",475,,30/6/2025,3211,Weston-super-Mare,Vanarama National League South,0,49,89.0,45.0,75.0,6.36,47.93,89.0,4.26,0.04,8.6,0.67,17%
28127070,Hayden Lindley,"DM, M (C)",21,"6'0""",850,,30/6/2025,1534,Darlington,Vanarama National League North,0,51,89.0,45.0,69.0,7.17,48.17,89.0,5.75,0.0,11.26,0.70,67%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",575,,30/6/2025,3649,South Shields,Vanarama National League North,0,59,84.0,45.0,94.0,12.85,30.98,84.0,2.84,0.01,11.64,2.27,45%
29185231,Tom Mehew,"DM, M (C)",23,"6'1""",475,,30/5/2025,4049,Chippenham,Vanarama National League South,0,45,88.0,45.0,66.0,6.65,46.34,88.0,3.89,0.03,8.62,0.71,19%
29173985,Alfie Payne,"DM, M (C)",24,"5'10""",350,,30/6/2025,4046,Braintree,Vanarama National League South,0,50,88.0,44.0,82.0,7.79,46.31,88.0,4.76,0.0,9.21,0.60,33%
2000125469,Liam Humbles,"DM, M (C)",20,"5'11""",450,,30/6/2025,3340,Maidstone,Vanarama National League South,0,44,88.0,44.0,74.0,5.77,45.3,88.0,4.26,0.04,11.56,0.70,19%
29233181,Fraser Alexander,"DM, M (C)",21,"5'7""",230,,30/6/2024,3943,Bishop's Stortford,Vanarama National League North,0,45,88.0,44.0,81.0,5.41,41.34,88.0,2.65,0.09,10.16,1.37,32%
2000274729,Henry Young,"DM, M (C)",19,"6'0""",0,,-,2058,Dover,Vanarama National League South,0,47,87.0,43.0,88.0,6.68,46.18,87.0,3.94,0.02,8.75,0.74,24%
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,,-,3796,Alfreton,Vanarama National League North,0,44,80.0,42.0,79.0,9.63,32.77,80.0,4.41,0.03,13.02,0.38,19%
2000066158,Antony Papadopoulos,"DM, M (C)",21,"5'11""",0,,-,1730,Welling,Vanarama National League South,0,46,83.0,42.0,70.0,12.49,37.72,83.0,4.06,0.14,6.97,1.04,30%
2000160252,George Wilkinson,DM,20,"5'9""",120,,30/6/2024,3385,Dover,Vanarama National League South,0,47,88.0,41.0,82.0,5.9,46.53,88.0,3.43,0.02,9.97,0.32,33%
29210194,George Hunt,"DM, M (C)",22,"6'0""",400,,30/6/2026,3262,Hampton & Richmond,Vanarama National League South,0,53,89.0,41.0,82.0,8.4,45.08,89.0,3.37,0.04,9.1,0.77,25%
29194204,Oliver Pendlebury,M (C),22,"5'9""",400,,30/6/2024,4467,Farnborough,Vanarama National League South,0,53,88.0,40.0,83.0,13.07,40.58,88.0,3.77,0.01,9.41,0.93,35%
29107438,Jack Bridge,AM (L),28,"5'10""","1,700",,30/6/2025,3644,Southend,Vanarama National League,0,50,87.0,39.0,83.0,14.25,36.03,87.0,4.08,0.0,13.34,0.05,50%
29233888,Matty McDonald,M/AM (C),21,"6'4""",450,,30/6/2025,3562,Warrington,Vanarama National League North,0,46,86.0,39.0,82.0,7.67,32.92,86.0,3.03,0.06,11.45,1.59,35%
2000122117,Ayyuba Jambang,D (R),19,"5'9""",925,,30/6/2025,1980,Aveley,Vanarama National League South,0,46,84.0,39.0,89.0,15.68,39.18,84.0,5.59,0.12,16.18,1.55,21%
29223285,Adam Porter,"DM, M (C)",22,"5'8""",350,,30/6/2025,4026,Truro,Vanarama National League South,0,51,88.0,38.0,79.0,8.15,43.88,88.0,4.16,0.05,11.09,0.56,24%
2000118114,Sahid Nallo,"DM, M (C)",19,"5'10""",65,,30/6/2024,1035,Banbury,Vanarama National League North,0,44,89.0,38.0,79.0,5.08,42.87,89.0,2.96,0.0,5.83,0.70,25%
29108194,Jack Stobbs,M/AM (R),27,"5'10""",675,,30/6/2025,1041,Torquay,Vanarama National League South,0,54,84.0,38.0,69.0,13.57,27.32,84.0,3.37,0.13,12.1,0.86,20%
