UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Hdr %,Hdrs  W/90,Tck R,Hdrs W/90,Tck/90,Blk/90,Poss Won/90,Poss Lost/90
2000045043,Callum Sullivan,"D (RL), WB (R)",21,,0,425,Balanced,30/6/2026,"3,232",,,0,53,86.0,75.0,83.0,14.18,14.81,75.0,0.0,83.0,4.59,2.53,0.89,14.81,14.18
29158250,Harvey Smith,D (C),27,,0,475,Balanced,30/6/2026,"3,775",,,0,53,87.0,79.0,79.0,10.89,12.92,79.0,0.0,79.0,7.51,0.91,0.55,12.92,10.89
29240127,Jack Davies,"D (LC), M (C)",23,,0,400,Balanced,30/6/2026,"2,084",,,0,53,87.0,82.0,84.0,12.27,14.60,82.0,0.0,84.0,7.13,1.34,0.43,14.60,12.27
28049315,Zaine Francis-Angol,"D (LC), WB (L)",32,,0,525,Balanced,30/6/2027,"2,856",,,0,53,87.0,64.0,83.0,16.27,12.29,64.0,0.0,83.0,3.66,1.83,0.38,12.29,16.27
29072357,Tom Platt,"DM, M (C)",32,,0,675,Balanced,30/6/2026,"3,273",,,0,53,89.0,70.0,84.0,11.54,7.45,70.0,0.0,84.0,2.83,1.79,0.38,7.45,11.54
28068604,Rudy Misambo,D (C),31,,0,525,Balanced,30/6/2027,"3,440",,,0,53,87.0,76.0,76.0,9.95,12.95,76.0,0.0,76.0,5.13,0.84,0.37,12.95,9.95
2000135239,Edward Gyamfi,"D (RC), DM, M (C)",22,,0,250,Balanced,30/6/2026,"1,913",,,0,53,86.0,70.0,79.0,13.31,13.46,70.0,0.0,79.0,3.06,2.63,0.61,13.46,13.31
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85.0,81.0,75.0,8.65,15.68,81.0,0.0,75.0,8.44,1.29,0.64,15.68,8.65
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78.0,72.0,76.0,11.88,12.17,72.0,0.0,76.0,7.61,0.98,0.35,12.17,11.88
29139894,Connor Johnson,D (C),26,"6'1""",650,750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,1,47,80.0,71.0,71.0,8.03,12.83,71.0,0.0,71.0,7.19,0.7,0.33,12.83,8.03
29240127,Jack Davies,D (LC),21,"6'2""",0,180,,30/6/2024,1761,Banbury,Vanarama National League North,1,44,79.0,78.0,85.0,10.15,14.62,78.0,0.0,85.0,8.69,1.18,0.97,14.62,10.15
31034672,Kyran Clements,D (C),27,"6'1""",550,350,,30/6/2024,4117,Gloucester,Vanarama National League North,1,47,84.0,83.0,84.0,8.19,14.14,83.0,0.0,84.0,7.65,0.94,0.48,14.14,8.19
28118015,Harry Flowers,D (C),28,"6'5""",0,350,,30/6/2024,2789,Southport,Vanarama National League North,1,50,77.0,79.0,83.0,10.84,15.49,79.0,0.0,83.0,8.75,0.77,0.52,15.49,10.84
122112,Peter Clarke,D (C),42,"6'2""",350,575,,30/6/2024,4257,Warrington,Vanarama National League North,1,44,73.0,74.0,76.0,8.78,12.09,74.0,0.0,76.0,7.10,0.95,0.36,12.09,8.78
28062670,George Waring,"D (C), ST (C)",29,"6'5""",0,230,,30/6/2024,2116,Curzon Ashton,Vanarama National League North,1,46,76.0,76.0,73.0,9.55,12.33,76.0,0.0,73.0,8.29,1.02,0.51,12.33,9.55
28068604,Rudy Misambo,D (C),30,"6'4""",0,230,,30/6/2024,3980,Farsley,Vanarama National League North,1,46,76.0,82.0,83.0,9.64,15.08,82.0,0.0,83.0,8.32,0.97,0.54,15.08,9.64
