UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
2000045043,Callum Sullivan,"D (RL), WB (R)",21,,0,425,Balanced,30/6/2026,"3,232",,,0,53,86.0,75.0,83.0,14.18,14.81,83.0,86.0,1.83,0.04,1.83,0.11,0.53,26%
28049315,Zaine Francis-Angol,"D (LC), WB (L)",32,,0,525,Balanced,30/6/2027,"2,856",,,0,53,87.0,64.0,83.0,16.27,12.29,83.0,87.0,2.1,0.04,2.1,0.25,0.54,41%
29123316,Alex Fletcher,"DM, M (C)",29,,0,525,Balanced,30/6/2026,"3,034",,,0,53,90.0,40.0,73.0,9.34,5.78,73.0,90.0,1.54,0.0,1.54,0.08,0.86,48%
29188481,Callum Thompson,"M (R), AM (RC)",24,,0,210,Ambitious,30/6/2026,"1,875",,,0,53,86.0,35.0,77.0,17.54,5.76,77.0,86.0,4.26,0.0,4.26,0.24,1.54,34%
29217235,Connor Shanks,"M (L), AM (RL), ST (C)",24,,0,500,Balanced,30/6/2026,"1,419",,,0,53,85.0,24.0,83.0,15.94,6.34,83.0,85.0,5.62,0.04999999999999999,5.62,0.2,1.27,40%
2000050851,Cian Spencer-McDermott,"M (RC), AM (RLC)",23,,0,250,Balanced,30/6/2026,"2,614",,,0,53,87.0,31.0,77.0,14.02,6.23,77.0,87.0,4.65,0.0,4.65,0.14,1.62,45%
2000051052,Dylan Youmbi,"AM (RLC), ST (C)",22,,0,0,Fairly Determined,-,936,,,0,53,86.0,36.0,79.0,16.44,5.10,79.0,86.0,4.97,0.07999999999999999,4.97,0.11,1.44,40%
61071573,Justin Johnson,M/AM (RL),29,,0,700,Balanced,30/6/2026,"2,802",,,0,53,88.0,8.0,86.0,15.78,4.27,86.0,88.0,4.15,0.0,4.15,0.18,1.22,50%
29240055,Will Trueman,"M/AM (C), ST (C)",23,,0,160,Balanced,30/6/2026,"1,503",,,0,53,89.0,29.0,74.0,9.96,4.85,74.0,89.0,1.31,0.0,1.31,0.17,0.96,38%
29163844,Nathan Tshikuna,M/AM (C),25,"5'10""",0,180,,30/6/2024,2461,Tamworth,Vanarama National League North,1,51,85.0,23.0,72.0,9.26,6.29,72.0,85.0,1.54,0.0,1.54,0.11,1.76,42%
29151021,Cameron Salkeld,"WB (R), M/AM (RL), ST (C)",25,"6'0""",0,475,,30/6/2024,1106,Darlington,Vanarama National League North,1,49,85.0,39.0,78.0,13.84,10.17,78.0,85.0,2.0,0.0,2.0,0.2,0.49,17%
215477,Alex Babos,"DM, M/AM (C)",25,"5'9""",0,475,,30/6/2024,3341,Hereford,Vanarama National League North,1,50,84.0,21.0,72.0,10.8,6.33,72.0,84.0,1.8,0.0,1.8,0.15,1.10,54%
