UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Gls/90,NP-xG/90,xpG_diff,Sprints/90,Hdr %,Hdrs W/90,Shot/90,Shot %,Offside/90
29110719,Josh Amis,ST (C),29,"6'1""",230,,30/6/2024,1469,Warrington,Vanarama National League North,0,46,83.0,55.0,61.0,6.52,21.87,0.43,0.42,0.0,5.45,55.0,9.01,3.12,39%,
28048861,Jack Sampson,ST (C),31,"6'2""",700,,30/6/2026,3387,Chorley,Vanarama National League North,0,53,86.0,55.0,73.0,6.44,18.44,0.61,0.54,0.0,6.03,55.0,8.82,4.65,45%,
2000109168,Emmanuel Ilesanmi,ST (C),19,"6'1""",0,,-,3856,Rushall,Vanarama National League North,0,45,83.0,48.0,73.0,5.02,18.28,0.51,0.37,0.0,5.37,48.0,8.19,2.66,45%,
90024367,Glen Taylor,ST (C),34,"6'3""","1,100",,30/6/2025,4198,Spennymoor,Vanarama National League North,0,49,79.0,40.0,82.0,6.24,15.31,0.54,0.49,0.05,5.87,40.0,6.45,3.39,42%,
90038888,Mark Jones,ST (C),34,"6'3""",350,,30/6/2024,2637,Peterborough Sports,Vanarama National League North,0,50,88.0,39.0,82.0,7.3,25.8,0.38,0.26,0.0,10.24,39.0,5.63,2.18,56%,
90069328,Dan Creaney,ST (C),29,"6'2""",575,,30/6/2025,4326,Tamworth,Vanarama National League North,0,48,85.0,39.0,58.0,5.38,18.62,0.56,0.49,0.0,5.7,39.0,6.89,2.75,49%,
28004617,Ryan Taylor,ST (C),36,"6'2""",575,,30/6/2024,3595,Alfreton,Vanarama National League North,0,44,83.0,38.0,63.0,4.12,16.12,0.53,0.35,0.0,7.24,38.0,6.01,2.38,46%,
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",350,,30/6/2024,1709,Chorley,Vanarama National League North,0,53,90.0,38.0,77.0,8.94,24.17,0.42,0.32,0.0,5.9,38.0,4.16,2.05,44%,
29219102,Ken Charles,ST (C),23,"6'0""",230,,30/6/2024,3858,Banbury,Vanarama National League North,0,44,84.0,33.0,80.0,6.54,22.07,0.44,0.43,0.08,5.53,33.0,5.06,3.10,40%,
29237705,Caleb Chukwuemeka,ST (C),22,"6'3""",925,,30/6/2024,3577,King's Lynn,Vanarama National League North,0,46,85.0,32.0,78.0,5.47,20.2,0.7,0.38,0.0,3.52,32.0,4.55,2.69,48%,
2000033300,Connor Evans,ST (C),20,"6'0""",450,,30/6/2025,3476,Warrington,Vanarama National League North,0,46,84.0,31.0,75.0,6.62,20.2,0.36,0.34,0.0,7.2,31.0,4.27,1.89,40%,
29031132,Jimmy Spencer,ST (C),32,"6'1""",450,,30/6/2025,4413,Curzon Ashton,Vanarama National League North,0,44,85.0,31.0,72.0,3.7,19.33,0.51,0.33,0.0,6.46,31.0,4.49,1.77,55%,
15070024,Michael Cunningham,ST (C),33,"6'0""",500,,30/6/2024,1831,Peterborough Sports,Vanarama National League North,0,50,87.0,27.0,79.0,7.03,21.77,0.39,0.36,0.0,8.06,27.0,4.28,1.82,54%,
2005767,Adam Rooney,ST (C),36,"5'10""",575,,30/6/2024,2281,Hereford,Vanarama National League North,0,46,86.0,24.0,86.0,4.23,16.77,0.55,0.31,0.0,6.12,24.0,3.24,2.05,50%,
2000163966,Reuben Marshall,ST (C),18,"5'8""",325,,30/6/2024,1951,Farsley,Vanarama National League North,0,47,86.0,22.0,76.0,6.97,25.46,0.51,0.27,0.0,7.84,22.0,2.77,1.85,50%,
94051916,Jason Cowley,ST (C),28,"5'9""",575,,30/6/2025,2230,Hereford,Vanarama National League North,0,46,86.0,21.0,69.0,4.81,16.39,0.48,0.34,0.0,7.83,21.0,2.74,2.26,50%,
29177672,Jordan Ponticelli,ST (C),25,"5'11""",825,,30/6/2024,1938,King's Lynn,Vanarama National League North,0,46,86.0,19.0,70.0,4.43,17.88,0.37,0.2,0.0,6.92,19.0,2.55,1.44,45%,
29162659,Mitchell Curry,ST (C),24,"5'10""",625,,30/6/2025,3727,Darlington,Vanarama National League North,0,51,89.0,18.0,77.0,8.54,27.31,0.43,0.24,0.0,6.74,18.0,1.71,1.52,48%,
29156567,Josh McCammon,AM (C),24,"6'0""",400,,30/6/2024,4434,Peterborough Sports,Vanarama National League North,0,50,85.0,17.0,79.0,7.79,21.72,0.35,0.27,0.0,7.9,17.0,1.32,1.85,41%,
2000147443,Gabriel Overton,ST (C),19,"5'10""",475,,30/6/2025,2752,Peterborough Sports,Vanarama National League North,0,50,87.0,15.0,74.0,8.4,20.44,0.72,0.49,0.0,8.96,15.0,1.96,2.49,55%,
29107386,Diego De Girolamo,ST (C),28,"5'10""","1,200",,30/6/2024,4584,Buxton,Vanarama National League North,0,46,87.0,11.0,74.0,5.19,16.43,0.59,0.41,0.0,5.73,11.0,1.47,2.18,50%,
2000124647,Josiah Dyer,ST (C),19,"5'11""","1,000",,30/6/2025,2198,Warrington,Vanarama National League North,0,46,89.0,11.0,68.0,5.59,19.04,0.61,0.29,0.0,5.45,11.0,1.43,1.88,70%,
90094865,Sam Hodgson,ST (C),23,"5'10""",750,Balanced,30/6/2026,"2,604",Guiseley,English Northern Premier League Premier Division,1,50,62.0,11.0,58.0,0.17,14.10,0.41,0.54,0.13,0.48,11.0,0.17,3.77,50%,
28127125,Will Russ,ST (C),22,"6'2""",300,Balanced,31/5/2026,"4,007",Southport,Vanarama National League North,1,50,81.0,45.0,72.0,6.29,16.89,0.76,0.48,0.0,5.53,45.0,7.73,3.30,48%,
2000183394,Liam Jones,"D (L), AM (LC), ST (C)",19,"5'9""",275,Balanced,30/6/2025,"2,778",Peterborough Sports,Vanarama National League North,1,47,86.0,13.0,80.0,6.12,21.32,0.42,0.38,0.0,5.99,13.0,1.13,2.01,47%,
29219102,Ken Charles,"AM (RL), ST (C)",24,"6'0""",375,Balanced,30/6/2025,"4,252",Banbury,Vanarama National League North,1,44,84.0,38.0,84.0,7.34,22.06,0.4,0.45,0.07,6.18,38.0,5.61,2.77,41%,
29162659,Mitchell Curry,"AM (RL), ST (C)",25,"5'10""",625,Balanced,30/6/2025,"3,833",Darlington,Vanarama National League North,1,49,87.0,22.0,71.0,7.86,27.17,0.54,0.42,0.0,6.81,22.0,2.49,2.25,49%,
