UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
90070191,Simeon Maye,"D (C), DM, M (C)",31,,0,425,Balanced,30/6/2026,"2,090",,,0,53,89.0,65.0,63.0,8.33,6.72,0.0,5.81,8.33,1.85,5.81,1.85,65.0
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92.0,79.0,77.0,6.04,13.75,0.0,7.54,6.04,0.68,7.54,6.86,79.0
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87.0,75.0,67.0,7.64,14.81,0.0,5.27,7.64,0.71,5.27,7.37,75.0
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83.0,73.0,84.0,8.35,13.09,0.0,5.15,8.35,1.7,5.15,5.15,73.0
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91.0,73.0,83.0,7.24,14.56,0.0,8.08,7.24,0.91,8.08,5.93,73.0
2000058107,Bobby Dailly,D (C),20,"6'0""",0,300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,1,50,87.0,68.0,68.0,9.58,15.51,0.0,6.66,9.58,1.38,6.66,6.99,68.0
20050511,Richard Bryan,D (R),28,"5'10""",0,825,,30/6/2024,3142,South Shields,Vanarama National League North,1,50,89.0,63.0,81.0,9.91,12.63,0.0,10.11,9.91,1.49,10.11,3.67,63.0
28124739,Cameron Jessup,D (C),21,"6'0""",0,300,,30/6/2024,4406,Darlington,Vanarama National League North,1,49,83.0,63.0,82.0,8.57,11.64,0.0,5.25,8.57,0.94,5.25,4.56,63.0
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89.0,63.0,74.0,9.67,7.97,0.0,5.27,9.67,1.4,5.27,2.56,63.0
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84.0,60.0,88.0,9.73,20.81,0.0,5.41,9.73,2.01,5.41,4.43,60.0
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",0,575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,1,57,88.0,55.0,74.0,10.16,15.13,0.0,5.5,10.16,1.9,5.5,2.01,55.0
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""",0,"1,400",,30/6/2026,4059,South Shields,Vanarama National League North,1,50,91.0,54.0,80.0,7.12,7.21,0.0,6.41,7.12,1.0,6.41,1.84,54.0
2002081381,Aidan Ireland,D (R),17,"5'10""",0,180,,30/6/2025,1439,Warrington,Vanarama National League North,1,44,81.0,53.0,81.0,9.42,14.01,0.0,6.07,9.42,1.63,6.07,3.06,53.0
29210000,Matty Williams,D (C),23,"6'3""",0,350,,30/6/2024,1324,Chester,Vanarama National League North,1,47,87.0,48.0,82.0,7.32,11.76,0.0,5.44,7.32,1.22,5.44,4.15,48.0
28127070,Hayden Lindley,"DM, M (C)",21,"6'0""",0,850,,30/6/2025,1534,Darlington,Vanarama National League North,1,49,89.0,45.0,69.0,6.49,8.04,0.0,5.75,6.49,1.94,5.75,1.58,45.0
2000137611,Luke Woolston,"DM, M (C)",19,"5'10""",0,"1,200",,30/6/2025,1677,Spennymoor,Vanarama National League North,1,46,86.0,38.0,69.0,7.0,8.16,0.0,5.21,7.0,1.93,5.21,1.29,38.0
29113880,Alex Purver,"DM, M (C)",28,"5'10""",0,675,,30/6/2026,3673,Scarborough Athletic,Vanarama National League North,1,50,87.0,35.0,74.0,7.89,9.92,0.0,5.61,7.89,2.74,5.61,1.74,35.0
28094022,Alex Wiles,M (C),27,"5'8""",0,400,,30/6/2025,1347,Scarborough Athletic,Vanarama National League North,1,50,86.0,27.0,67.0,8.49,8.69,0.0,6.15,8.49,2.34,6.15,1.27,27.0
