UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Poss Lost/90,Pr passes/90,Drb/90,xA/90,Shot/90,Shot %
28124744,Cardo Siddik,D (C),21,"6'3""",575,,30/6/2025,2101,Darlington,Vanarama National League North,0,51,85.0,81.0,75.0,9.18,48.02,85.0,9.18,4.58,-,0.01,0.43,40%
28025272,Ben Milnes,"DM, M (C)",32,"5'9""",230,,30/6/2024,4509,Tamworth,Vanarama National League North,0,48,87.0,37.0,73.0,7.86,38.06,87.0,7.86,2.89,0.35,0.16,1.42,44%
29139894,Connor Johnson,D (C),26,"6'1""",750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,0,50,80.0,71.0,71.0,9.02,37.01,80.0,9.02,3.39,0.04,0.05,0.35,31%
31034672,Kyran Clements,D (C),27,"6'1""",350,,30/6/2024,4117,Gloucester,Vanarama National League North,0,48,84.0,83.0,84.0,8.85,47.5,84.0,8.85,3.45,0.11,0.02,0.81,49%
28118015,Harry Flowers,D (C),28,"6'5""",350,,30/6/2024,2789,Southport,Vanarama National League North,0,43,77.0,79.0,83.0,9.51,36.63,77.0,9.51,2.9,-,0.03,0.94,31%
28100474,Jack Evans,"DM, M (C)",26,"6'1""",0,,-,1072,Farsley,Vanarama National League North,0,47,87.0,47.0,86.0,7.4,46.43,87.0,7.4,4.37,0.56,0.08,1.26,20%
28100548,Kyle Howkins,D (C),28,"6'5""",475,,30/6/2024,3976,Hereford,Vanarama National League North,0,46,82.0,82.0,74.0,7.98,39.66,82.0,7.98,2.9,0.02,0.04,0.77,56%
29194271,Tom Leak,D (C),23,"6'2""",400,,30/6/2024,4106,Boston Utd,Vanarama National League North,0,54,87.0,80.0,79.0,9.27,55.19,87.0,9.27,5.37,0.02,0.06,0.99,36%
2000219406,Ashton Fox,D (C),21,"6'0""",575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,0,50,82.0,80.0,75.0,9.64,42.56,82.0,9.64,3.9,0.17,0.04,0.61,28%
29158250,Harvey Smith,D (C),25,"6'0""",400,,30/6/2024,3362,Chorley,Vanarama National League North,0,53,84.0,80.0,80.0,10.31,49.23,84.0,10.31,5.09,0.03,0.03,0.40,33%
29176525,Max Hunt,D (C),25,"6'6""",400,,30/6/2024,4307,Buxton,Vanarama National League North,0,46,83.0,80.0,83.0,7.49,43.94,83.0,7.49,4.28,0.04,0.05,1.44,38%
