UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Hdr %,Pr passes/90,Tck/90,Pass %
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85%,81.0,75.0,9.0,15.68,4.58,75.0,81.0,4.58,1.29,
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81%,59.0,74.0,19.97,14.95,5.62,74.0,59.0,5.62,3.11,
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78%,72.0,76.0,11.88,12.17,4.45,76.0,72.0,4.45,0.98,
29139894,Connor Johnson,D (C),26,"6'1""",650,750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,1,47,80%,71.0,71.0,9.02,12.83,3.39,71.0,71.0,3.39,0.7,
29240127,Jack Davies,D (LC),21,"6'2""",0,180,,30/6/2024,1761,Banbury,Vanarama National League North,1,44,79%,78.0,85.0,12.73,14.62,3.63,85.0,78.0,3.63,1.18,
31034672,Kyran Clements,D (C),27,"6'1""",550,350,,30/6/2024,4117,Gloucester,Vanarama National League North,1,47,84%,83.0,84.0,9.2,14.14,3.45,84.0,83.0,3.45,0.94,
28118015,Harry Flowers,D (C),28,"6'5""",0,350,,30/6/2024,2789,Southport,Vanarama National League North,1,50,77%,79.0,83.0,10.84,15.49,2.9,83.0,79.0,2.9,0.77,
122112,Peter Clarke,D (C),42,"6'2""",350,575,,30/6/2024,4257,Warrington,Vanarama National League North,1,44,73%,74.0,76.0,11.01,12.09,3.97,76.0,74.0,3.97,0.95,
28062670,George Waring,"D (C), ST (C)",29,"6'5""",0,230,,30/6/2024,2116,Curzon Ashton,Vanarama National League North,1,46,76%,76.0,73.0,11.14,12.33,2.68,73.0,76.0,2.68,1.02,
28068604,Rudy Misambo,D (C),30,"6'4""",0,230,,30/6/2024,3980,Farsley,Vanarama National League North,1,46,76%,82.0,83.0,11.24,15.08,3.32,83.0,82.0,3.32,0.97,
90070191,Simeon Maye,"DM, M (C)",29,"5'10""",0,230,,30/6/2024,2990,Banbury,Vanarama National League North,1,44,87%,59.0,78.0,5.3,7.56,2.38,78.0,59.0,2.38,1.41,
28100548,Kyle Howkins,D (C),28,"6'5""",0,475,,30/6/2024,3976,Hereford,Vanarama National League North,1,50,82%,82.0,74.0,8.62,13.11,2.9,74.0,82.0,2.9,1.09,
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87%,80.0,79.0,8.53,15.26,5.37,79.0,80.0,5.37,0.75,
2000219406,Ashton Fox,D (C),21,"6'0""",0,575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,1,47,82%,80.0,75.0,9.64,14.71,3.9,75.0,80.0,3.9,0.75,
