UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pas %,Drb/90,xA/90,Sprints/90,Drb/90,Shot/90,Shot %,xpG_diff
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85.0,59.0,84.0,26.33,13.2,7.68,85.0,4.61,0.27,18.81,4.61,0.57,42%,0.010000000000000002
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,2.33,84.0,3.58,0.24,14.07,3.58,2.42,42%,0.0
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46.0,86.0,14.93,8.44,2.88,80.0,4.01,0.26,12.51,4.01,1.70,43%,0.0
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37.0,85.0,16.6,7.25,1.98,87.0,4.04,0.23,7.37,4.04,1.77,33%,0.04000000000000001
29110602,Billy Whitehouse,M/AM (R),27,"5'11""",0,650,,30/6/2025,3971,Chorley,Vanarama National League North,1,59,86.0,36.0,81.0,17.77,6.75,3.11,86.0,4.48,0.18,12.65,4.48,1.36,52%,0.0
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,2.78,85.0,3.93,0.24,15.02,3.93,2.28,50%,0.0
29139358,Darren Foxley,AM (RL),27,"5'10""",0,350,,30/6/2024,3851,Bishop's Stortford,Vanarama National League North,1,50,83.0,29.0,87.0,14.82,7.41,2.34,83.0,3.53,0.24,12.18,3.53,1.40,37%,0.07
29103880,Danny Elliott,ST (C),28,"6'0""",0,675,,30/6/2025,1564,Scunthorpe,Vanarama National League North,1,64,86.0,26.0,87.0,14.15,5.81,1.67,86.0,5.65,0.17,6.73,5.65,2.82,45%,0.020000000000000018
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,2.5,86.0,3.69,0.23,17.51,3.69,2.19,34%,0.04999999999999999
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",0,230,,30/6/2024,4425,Tamworth,Vanarama National League North,1,51,83.0,24.0,90.0,16.4,6.02,2.97,83.0,3.62,0.29,12.2,3.62,1.55,49%,0.03
29217235,Connor Shanks,AM (RL),22,"5'11""",0,350,,30/6/2025,1675,Spennymoor,Vanarama National League North,1,46,84.0,21.0,86.0,14.38,8.06,2.53,84.0,3.87,0.26,13.7,3.87,1.99,41%,0.0
2000137499,Morgan Wigley,AM (R),18,"5'11""",0,525,,30/6/2025,2656,Hereford,Vanarama National League North,1,50,83.0,21.0,82.0,15.18,6.68,2.91,83.0,4.03,0.21,14.27,4.03,1.02,33%,0.0
29131412,Dion Sembie-Ferris,M/AM (RL),28,"5'9""",0,575,,30/6/2024,2208,Scunthorpe,Vanarama National League North,1,64,85.0,20.0,77.0,19.25,7.58,3.1,85.0,8.97,0.21,11.78,8.97,2.00,45%,0.0
29191699,Jordan Stevens,M/AM (R),24,"5'10""",0,"1,300",,30/6/2026,2683,Yeovil,Vanarama National League South,1,50,87.0,19.0,79.0,19.52,4.6,2.48,87.0,3.52,0.15,9.43,3.52,2.01,40%,0.0
2000109166,Brad Williams,AM (R),19,"5'8""",0,0,,-,1263,King's Lynn,Vanarama National League North,1,50,82.0,19.0,74.0,14.96,6.77,2.07,82.0,3.71,0.21,17.1,3.71,1.71,38%,0.0
29218026,Harry Green,AM (L),22,"5'10""",0,600,,30/6/2025,4042,Scarborough Athletic,Vanarama National League North,1,50,87.0,18.0,73.0,13.54,8.77,2.0,87.0,3.83,0.31,12.65,3.83,1.87,48%,0.0
29224247,Corey McKeown,AM (RL),22,"5'10""",0,725,,30/6/2025,3989,Spennymoor,Vanarama National League North,1,46,86.0,16.0,82.0,13.67,7.42,2.12,86.0,3.88,0.26,15.23,3.88,1.44,44%,0.0
29236669,Cameron Wilson,AM (R),21,"5'11""",0,875,,30/6/2025,2591,Scunthorpe,Vanarama National League North,1,64,88.0,15.0,81.0,19.35,7.02,2.92,88.0,8.92,0.2,11.01,8.92,1.70,35%,0.07
61071573,Justin Johnson,M/AM (RL),27,"5'7""",0,700,,30/6/2026,3966,Chorley,Vanarama National League North,1,59,88.0,13.0,77.0,15.61,6.56,2.45,88.0,6.17,0.23,8.62,6.17,1.45,45%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",22,"5'9""",0,180,,30/6/2024,1108,Tamworth,Vanarama National League North,1,51,88.0,9.0,85.0,11.94,6.74,3.09,88.0,4.14,0.25,13.65,4.14,1.62,30%,0.0
28091360,Cal Roberts,M/AM (R),27,"5'8""",0,"1,400",,30/6/2025,2174,Scunthorpe,Vanarama National League North,1,64,86.0,8.0,78.0,20.82,6.13,3.15,86.0,6.71,0.15,10.56,6.71,2.24,44%,0.0
29217667,Will McGowan,"DM, M/AM (C)",22,"5'7""",0,500,Spirited,30/6/2026,"3,918",Blyth,Vanarama National League North,2,69,90.0,28.0,83.0,16.89,6.96,7.28,90.0,5.26,0.18,7.28,5.26,1.15,32%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",23,"5'9""",0,0,Balanced,-,"4,140",Tamworth,Vanarama National League North,2,53,85.0,16.0,80.0,14.8,6.91,2.96,85.0,4.61,0.21,14.33,4.61,1.28,44%,0.0
