UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pas %,Drb/90,xA/90,Sprints/90,Drb/90,Shot/90,Shot %,xpG_diff
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82.0,74.0,78.0,24.49,14.61,5.88,82.0,5.14,0.23,29.28,5.14,1.01,38%,0.0
2000142139,Bayley McCann,D/WB (L),18,"5'11""",0,600,,30/6/2026,1149,Scunthorpe,Vanarama National League North,1,64,88.0,72.0,78.0,13.6,13.79,6.89,88.0,3.26,0.11,10.18,3.26,0.16,0%,0.02
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,19.6,11.62,8.21,84.0,3.27,0.18,17.86,3.27,1.68,34%,0.040000000000000036
29083573,Bradley Barry,D/WB (R),29,"5'11""",0,"1,200",,30/6/2025,4771,Eastbourne Borough,Vanarama National League South,1,57,85.0,65.0,83.0,17.86,11.81,4.0,85.0,3.29,0.18,16.13,3.29,0.43,43%,0.0
29187947,Tom Pugh,"DM, M (C)",23,"5'10""",0,850,,30/6/2026,1695,Scunthorpe,Vanarama National League North,1,64,89.0,62.0,81.0,10.85,7.86,4.3,89.0,3.83,0.08,7.17,3.83,1.38,42%,0.06999999999999999
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85.0,59.0,84.0,26.33,13.2,7.68,85.0,12.35,0.27,18.81,12.35,0.57,42%,0.010000000000000002
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88.0,54.0,83.0,17.92,13.1,7.51,88.0,4.21,0.18,14.4,4.21,0.74,33%,0.0
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,2.33,84.0,3.58,0.24,14.07,3.58,2.42,42%,0.0
37027600,Enzio Boldewijn,M/AM (RL),31,"6'1""",0,"1,400",,30/6/2025,3003,Eastleigh,Vanarama National League,1,54,80.0,49.0,83.0,23.65,5.3,2.16,80.0,4.09,0.12,11.9,4.09,1.05,40%,0.020000000000000004
28100985,Ollie Shenton,M/AM (C),26,"5'9""",0,575,,30/6/2024,3861,Chorley,Vanarama National League North,1,59,88.0,48.0,76.0,13.13,6.71,5.1,88.0,4.15,0.16,7.41,4.15,0.98,36%,0.0
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46.0,86.0,14.93,8.44,2.88,80.0,4.26,0.26,12.51,4.26,1.70,43%,0.0
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,2.84,84.0,3.23,0.19,11.64,3.23,2.27,45%,0.010000000000000009
2000124240,Hayden Pickard,D/WB (L),18,"5'10""",0,475,,30/6/2026,2665,Boston Utd,Vanarama National League North,1,58,81.0,45.0,87.0,16.96,12.9,7.02,81.0,4.44,0.1,15.16,4.44,0.17,60%,0.0
5124487,Nicky Deverdics,M (C),36,"6'0""",0,250,,30/6/2025,4388,Blyth,Vanarama National League North,1,64,88.0,40.0,87.0,16.61,5.85,8.88,88.0,3.72,0.2,7.4,3.72,1.54,48%,0.0
