UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,xGP/90,xGP/90,Sv %,xSv %,Pens Saved Ratio,Pens Saved/90
28093281,Jake Weaver,GK,27,"6'2""",0,120,,30/6/2024,4410,Rushall,Vanarama National League North,1,50,35%,-,13%,15.18,6.78,1.16,0.28,0.28,,,,
2000156708,Wyll Stanway,GK,23,"6'4""",0,300,,30/6/2024,1620,Chester,Vanarama National League North,1,47,57%,-,50%,11.67,7.17,2.17,0.17,0.17,,,,
5112026,Paul Jones,GK,37,"6'3""",0,825,,30/6/2025,1350,King's Lynn,Vanarama National League North,1,50,33%,-,0%,16.6,7.93,1.07,0.99,0.99,,,,
90038591,Aaron Chapman,GK,34,"6'8""",0,0,,-,1658,Boston Utd,Vanarama National League North,1,58,41%,-,0%,12.38,6.46,0.98,0.49,0.49,,,,
29109096,Ben Dudzinski,GK,27,"6'2""",0,575,,30/6/2024,5115,Eastbourne Borough,Vanarama National League South,1,57,47%,-,30%,9.73,3.55,0.19,0.16,0.16,,,,
28060298,Ross Fitzsimons,GK,30,"6'1""",0,"1,200",,30/6/2025,4590,Scunthorpe,Vanarama National League North,1,64,62%,-,0%,10.04,9.06,0.9,0.15,0.15,,,,
2000140695,Josey Casa-Grande,GK,19,"6'1""",0,300,,30/6/2025,2430,King's Lynn,Vanarama National League North,1,50,26%,-,50%,18.37,8.04,0.52,0.24,0.24,,,,
2000191455,Kier Barry,GK,18,"6'2""",0,60,,30/6/2024,1260,Chorley,Vanarama National League North,1,59,76%,-,33%,7.36,9.36,0.93,0.38,0.38,,,,
28121310,Roco Rees,GK,22,"6'3""",0,300,,-,4861,Worthing,Vanarama National League South,1,50,50%,-,67%,7.72,4.3,0.02,0.14,0.14,,,,
2000150262,Harley Earle,GK,20,"6'2""",0,150,,30/6/2025,1339,Maidstone,Vanarama National League South,1,50,57%,-,33%,11.43,1.21,0.07,0.31,0.31,,,,
28018767,Mark Halstead,GK,33,"6'3""",0,875,,30/6/2024,3483,Torquay,Vanarama National League South,1,52,46%,-,33%,6.9,4.5,0.13,0.14,0.14,,,,
95040801,Ryan Whitley,GK,24,"6'5""",0,575,,30/6/2025,4220,Scarborough Athletic,Vanarama National League North,1,50,35%,-,56%,14.23,6.14,0.9,0.26,0.26,,,,
2000118107,Noah Phillips,GK,19,"6'5""",0,275,,30/6/2025,4140,Gloucester,Vanarama National League North,1,47,34%,-,9%,14.07,6.09,1.78,0.24,0.24,,,,
19118610,Lucas Covolan,GK,32,"6'4""",0,825,,30/6/2024,3251,Maidstone,Vanarama National League South,1,50,52%,-,0%,9.83,2.71,0.08,0.38,0.38,,,,
2000108907,Ellis Craven,GK,19,"5'11""",0,575,,30/6/2025,3461,Chelmsford,Vanarama National League South,1,56,64%,-,0%,5.85,6.89,0.34,0.34,0.34,,,,
29139703,Mathew Hudson,GK,25,"6'4""",0,750,,30/6/2025,2271,Oldham,Vanarama National League,1,50,50%,-,0%,9.55,3.37,0.04,0.23,0.23,,,,
29129075,Rhys Lovett,GK,27,"6'1""",0,500,,30/6/2025,1407,Torquay,Vanarama National League South,1,52,46%,-,0%,9.72,4.03,0.58,0.13,0.13,,,,
29031456,Jack Giddens,GK,32,"6'1""",0,575,,30/6/2024,4680,Bishop's Stortford,Vanarama National League North,1,50,43%,-,5%,16.73,9.19,1.71,0.13,0.13,,,,
29125891,Craig King,GK,26,"6'5""",0,450,,30/6/2025,3713,Hemel Hempstead,Vanarama National League South,1,46,60%,-,25%,8.14,4.34,0.22,0.16,0.16,,,,
28127364,Joe Young,GK,22,"5'10""",0,700,,30/6/2026,"4,050",Dag & Red,Vanarama National League,2,50,49%,-,25%,7.42,4.73,0.0,0.25,0.25,,87%,25%,
28059728,Peter Crook,GK,31,"6'3""",0,650,Fairly Professional,30/6/2026,"4,590",Peterborough Sports,Vanarama National League North,2,52,35%,-,15%,15.04,6.94,1.12,0.29,0.29,,82%,15%,
29023596,Tommy Taylor,GK,32,"6'3""",0,425,Balanced,30/6/2025,"4,980",Buxton,Vanarama National League North,2,51,51%,-,31%,13.03,7.41,1.25,0.3,0.3,,80%,31%,
90052878,Peter Jameson,GK,32,"6'3""",0,100,,30/6/2025,"2,610",Caernarfon,JD Cymru Premier,2,50,43%,-,0%,6.62,4.28,0.0,0.38,0.38,,88%,0%,
2000035283,Lewis Ridd,GK,20,"6'3""",0,180,Balanced,30/6/2025,"4,209",Southport,Vanarama National League North,2,46,34%,-,22%,15.48,7.12,1.26,0.13,0.13,,83%,22%,
2000184638,Jack Harding,GK,32,"6'0""",0,230,Fairly Determined,30/6/2025,"4,527",Banbury,Vanarama National League North,2,50,42%,-,17%,15.31,7.5,1.25,0.23,0.23,,80%,17%,
