UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Hdr %,Hdrs  W/90,Tck R,Hdr %,Hdrs W/90,Int/90,Tck R,Tck/90,Blk/90,Poss Won/90,Pas %Poss Lost/90
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85%,81.0,75.0,9.0,15.68,4.58,81.0,0.0,75.0,81.0,8.44,1.84,75.0,1.29,0.64,15.68,
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81%,59.0,74.0,19.97,14.95,5.62,59.0,0.0,74.0,59.0,4.38,2.86,74.0,3.11,0.53,14.95,
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78%,72.0,76.0,11.88,12.17,4.45,72.0,0.0,76.0,72.0,7.61,0.73,76.0,0.98,0.35,12.17,
29139894,Connor Johnson,D (C),26,"6'1""",650,750,,30/6/2024,4119,Peterborough Sports,Vanarama National League North,1,47,80%,71.0,71.0,9.02,12.83,3.39,71.0,0.0,71.0,71.0,7.19,1.18,71.0,0.7,0.33,12.83,
29240127,Jack Davies,D (LC),21,"6'2""",0,180,,30/6/2024,1761,Banbury,Vanarama National League North,1,44,79%,78.0,85.0,12.73,14.62,3.63,78.0,0.0,85.0,78.0,8.69,1.99,85.0,1.18,0.97,14.62,
31034672,Kyran Clements,D (C),27,"6'1""",550,350,,30/6/2024,4117,Gloucester,Vanarama National League North,1,47,84%,83.0,84.0,9.2,14.14,3.45,83.0,0.0,84.0,83.0,7.65,1.79,84.0,0.94,0.48,14.14,
28118015,Harry Flowers,D (C),28,"6'5""",0,350,,30/6/2024,2789,Southport,Vanarama National League North,1,50,77%,79.0,83.0,10.84,15.49,2.9,79.0,0.0,83.0,79.0,8.75,1.23,83.0,0.77,0.52,15.49,
122112,Peter Clarke,D (C),42,"6'2""",350,575,,30/6/2024,4257,Warrington,Vanarama National League North,1,44,73%,74.0,76.0,11.01,12.09,3.97,74.0,0.0,76.0,74.0,7.10,1.08,76.0,0.95,0.36,12.09,
28062670,George Waring,"D (C), ST (C)",29,"6'5""",0,230,,30/6/2024,2116,Curzon Ashton,Vanarama National League North,1,46,76%,76.0,73.0,11.14,12.33,2.68,76.0,0.0,73.0,76.0,8.29,1.45,73.0,1.02,0.51,12.33,
28068604,Rudy Misambo,D (C),30,"6'4""",0,230,,30/6/2024,3980,Farsley,Vanarama National League North,1,46,76%,82.0,83.0,11.24,15.08,3.32,82.0,0.0,83.0,82.0,8.32,1.24,83.0,0.97,0.54,15.08,
90070191,Simeon Maye,"DM, M (C)",29,"5'10""",0,230,,30/6/2024,2990,Banbury,Vanarama National League North,1,44,87%,59.0,78.0,5.3,7.56,2.38,59.0,0.0,78.0,59.0,3.64,0.96,78.0,1.41,0.39,7.56,
28100548,Kyle Howkins,D (C),28,"6'5""",0,475,,30/6/2024,3976,Hereford,Vanarama National League North,1,50,82%,82.0,74.0,8.62,13.11,2.9,82.0,0.0,74.0,82.0,8.65,1.20,74.0,1.09,0.75,13.11,
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87%,80.0,79.0,8.53,15.26,5.37,80.0,0.0,79.0,80.0,8.57,2.02,79.0,0.75,0.50,15.26,
2000219406,Ashton Fox,D (C),21,"6'0""",0,575,,30/6/2024,4295,Peterborough Sports,Vanarama National League North,1,47,82%,80.0,75.0,9.64,14.71,3.9,80.0,0.0,75.0,80.0,8.53,1.78,75.0,0.75,0.48,14.71,
29158250,Harvey Smith,D (C),25,"6'0""",0,400,,30/6/2024,3362,Chorley,Vanarama National League North,1,59,84%,80.0,80.0,9.69,13.06,5.09,80.0,0.0,80.0,80.0,7.82,1.23,80.0,1.26,0.56,13.06,
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83%,80.0,83.0,8.09,14.21,4.28,80.0,0.0,83.0,80.0,8.59,0.88,83.0,0.94,0.42,14.21,
61064263,Michael Kelly,D (L),26,"5'11""",0,"1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,1,64,84%,80.0,72.0,11.47,15.85,7.54,80.0,0.0,72.0,80.0,5.94,2.05,72.0,2.41,0.67,15.85,
222823,Tai Fleming,D (C),22,"6'3""",0,240,,30/6/2025,4033,Banbury,Vanarama National League North,1,44,83%,79.0,90.0,9.39,15.31,3.06,79.0,0.0,90.0,79.0,9.95,1.21,90.0,0.98,0.51,15.31,
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92%,79.0,77.0,6.04,13.75,7.54,79.0,0.0,77.0,79.0,6.86,1.58,77.0,0.68,0.38,13.75,
28093200,Keenan Quansah,"D (RC), WB (R), DM",27,"6'4""",0,350,,30/6/2024,3388,Southport,Vanarama National League North,1,50,83%,79.0,76.0,10.07,14.03,3.83,79.0,0.0,76.0,79.0,6.35,1.70,76.0,2.15,0.37,14.03,
2000056887,Seydil Tour̩,D (C),20,"6'2""",0,475,,30/6/2025,3759,Braintree,Vanarama National League South,1,50,85%,78.0,82.0,4.96,13.07,3.83,78.0,0.0,82.0,78.0,6.70,1.36,82.0,1.17,0.34,13.07,
28124743,Dan Quick,D (C),21,"6'2""",0,525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,1,57,85%,78.0,88.0,4.01,13.1,4.08,78.0,0.0,88.0,78.0,6.38,1.57,88.0,1.05,0.45,13.1,
