UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
2000068477,Áurio Neto-Teixeira,"DM, M/AM (C)",23,"5'3""","1,000",575,Balanced,,1823,Hereford,Vanarama National League North,0,46,,0.0,71.0,9.51,9.53,5.53,0.0,5.53,9.51,2.91,5.53,0.54,0.0
2000230759,Jack Ball,D (RLC),32,"6'2""",130,180,Balanced,30/6/2026,1000,Leamington,Vanarama National League North,0,50,,0.0,70.0,10.89,13.41,6.21,0.0,6.21,10.89,2.07,6.21,3.87,0.0
2000199182,Stafford Clarke,"DM, M (C)",20,"6'2""",325,160,Balanced,30/6/2026,3963,Curzon Ashton,Vanarama National League North,0,44,,0.0,70.0,7.46,10.13,4.41,0.0,4.41,7.46,2.43,4.41,2.48,0.0
29151021,Cameron Salkeld,"WB (R), M/AM (RL), ST (C)",25,"6'0""",0,475,,30/6/2024,1106,Darlington,Vanarama National League North,1,49,85%,39.0,78.0,14.12,10.17,5.21,0.0,5.21,14.12,2.85,5.21,2.20,39.0
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85%,81.0,75.0,8.82,15.68,4.58,0.0,4.58,8.82,1.29,4.58,8.44,81.0
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78%,72.0,76.0,11.88,12.17,4.45,0.0,4.45,11.88,0.98,4.45,7.61,72.0
28100474,Jack Evans,"DM, M (C)",26,"6'1""",300,0,,-,1072,Farsley,Vanarama National League North,1,46,87%,47.0,86.0,7.69,9.82,4.37,0.0,4.37,7.69,2.6,4.37,2.27,47.0
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87%,80.0,79.0,10.15,15.26,5.37,0.0,5.37,10.15,0.75,5.37,8.57,80.0
29158250,Harvey Smith,D (C),25,"6'0""",0,400,,30/6/2024,3362,Chorley,Vanarama National League North,1,59,84%,80.0,80.0,11.82,13.06,5.09,0.0,5.09,11.82,1.26,5.09,7.82,80.0
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83%,80.0,83.0,7.78,14.21,4.28,0.0,4.28,7.78,0.94,4.28,8.59,80.0
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92%,79.0,77.0,6.04,13.75,7.54,0.0,7.54,6.04,0.68,7.54,6.86,79.0
57149460,Moses Makinde,D (L),31,"6'1""",0,600,,30/6/2025,1727,South Shields,Vanarama National League North,1,50,85%,77.0,77.0,12.92,15.43,9.07,0.0,9.07,12.92,1.93,9.07,5.84,77.0
29023464,Aarran Racine,D (C),32,"6'2""",0,300,,30/6/2025,2570,Tonbridge,Vanarama National League South,1,48,86%,77.0,81.0,3.94,14.78,4.38,0.0,4.38,3.94,0.91,4.38,6.37,77.0
90057700,Jamie Willets,D (C),31,"6'3""",0,180,,30/6/2024,4501,Tamworth,Vanarama National League North,1,51,80%,77.0,70.0,10.9,13.96,4.56,0.0,4.56,10.9,0.7,4.56,7.08,77.0
28028403,Conor Branson,"DM, M (C)",32,"6'2""",0,300,,30/6/2024,2947,Farsley,Vanarama National League North,1,46,85%,77.0,71.0,8.06,11.27,4.83,0.0,4.83,8.06,1.92,4.83,5.13,77.0
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",0,375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,1,64,90%,77.0,75.0,9.97,13.91,4.48,0.0,4.48,9.97,0.46,4.48,7.88,77.0
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84%,77.0,83.0,11.05,14.0,7.32,0.0,7.32,11.05,2.28,7.32,4.29,77.0
29146151,Maxim Kouogun,D (C),27,"6'3""",0,875,,30/6/2025,2941,Scunthorpe,Vanarama National League North,1,64,85%,76.0,68.0,13.35,16.04,4.28,0.0,4.28,13.35,0.92,4.28,7.80,76.0
29038155,Blaine Hudson,D (C),32,"6'5""",0,300,,30/6/2025,2330,Chelmsford,Vanarama National League South,1,56,79%,76.0,75.0,5.97,19.58,4.4,0.0,4.4,5.97,0.81,4.4,6.72,76.0
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",0,450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,1,50,84%,76.0,78.0,13.14,13.65,4.68,0.0,4.68,13.14,1.62,4.68,5.49,76.0
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87%,75.0,67.0,8.1,14.81,5.27,0.0,5.27,8.1,0.71,5.27,7.37,75.0
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",0,575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,1,47,85%,75.0,91.0,10.1,15.21,4.71,0.0,4.71,10.1,1.43,4.71,6.29,75.0
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81%,75.0,82.0,13.96,15.71,7.29,0.0,7.29,13.96,2.14,7.29,5.09,75.0
28094135,Evan Gumbs,D (C),26,"5'10""",0,180,,30/6/2024,3750,Warrington,Vanarama National League North,1,44,80%,75.0,82.0,9.04,13.63,4.27,0.0,4.27,9.04,1.54,4.27,6.17,75.0
2000255196,Jet Dyer,D (LC),19,"6'4""",0,350,,30/6/2025,2224,Aveley,Vanarama National League South,1,44,87%,75.0,81.0,7.62,13.15,4.45,0.0,4.45,7.62,1.7,4.45,6.07,75.0
29128162,Bailey Gooda,D (C),27,"5'9""",0,475,,30/6/2025,4539,Scarborough Athletic,Vanarama National League North,1,50,87%,74.0,70.0,7.38,13.38,4.7,0.0,4.7,7.38,1.03,4.7,5.83,74.0
