UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
2000068477,Áurio Neto-Teixeira,"DM, M/AM (C)",23,"5'3""","1,000",575,Balanced,,1823,Hereford,Vanarama National League North,0,46,0.0,0.0,71.0,8.81,9.53,5.53,0.0,5.53,8.81,2.91,5.53,0.54,0.0
2000230759,Jack Ball,D (RLC),32,"6'2""",130,180,Balanced,30/6/2026,1000,Leamington,Vanarama National League North,0,50,0.0,0.0,70.0,10.89,13.41,6.21,0.0,6.21,10.89,2.07,6.21,3.87,0.0
2000199182,Stafford Clarke,"DM, M (C)",20,"6'2""",325,160,Balanced,30/6/2026,3963,Curzon Ashton,Vanarama National League North,0,44,0.0,0.0,70.0,6.66,10.13,4.41,0.0,4.41,6.66,2.43,4.41,2.48,0.0
28124744,Cardo Siddik,D (C),21,"6'3""",400,575,,30/6/2025,2101,Darlington,Vanarama National League North,1,49,85.0,81.0,75.0,8.65,15.68,4.58,0.0,4.58,8.65,1.29,4.58,8.44,81.0
90049334,Will Thornton,D (C),26,"6'3""",525,350,,30/6/2024,4327,Scarborough Athletic,Vanarama National League North,1,50,78.0,72.0,76.0,11.88,12.17,4.45,0.0,4.45,11.88,0.98,4.45,7.61,72.0
28100474,Jack Evans,"DM, M (C)",26,"6'1""",300,0,,-,1072,Farsley,Vanarama National League North,1,46,87.0,47.0,86.0,7.12,9.82,4.37,0.0,4.37,7.12,2.6,4.37,2.27,47.0
29194271,Tom Leak,D (C),23,"6'2""",0,400,,30/6/2024,4106,Boston Utd,Vanarama National League North,1,58,87.0,80.0,79.0,12.08,15.26,5.37,0.0,5.37,12.08,0.75,5.37,8.57,80.0
29176525,Max Hunt,D (C),25,"6'6""",0,400,,30/6/2024,4307,Buxton,Vanarama National League North,1,48,83.0,80.0,83.0,7.48,14.21,4.28,0.0,4.28,7.48,0.94,4.28,8.59,80.0
2000141112,Will Armitage,D (C),19,"6'3""",0,575,,30/6/2026,4498,South Shields,Vanarama National League North,1,50,92.0,79.0,77.0,6.04,13.75,7.54,0.0,7.54,6.04,0.68,7.54,6.86,79.0
28124743,Dan Quick,D (C),21,"6'2""",0,525,,30/6/2024,2583,Eastbourne Borough,Vanarama National League South,1,57,85.0,78.0,88.0,5.42,13.1,4.08,0.0,4.08,5.42,1.05,4.08,6.38,78.0
