UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
29163844,Nathan Tshikuna,M/AM (C),25,"5'10""",0,180,,30/6/2024,2461,Tamworth,Vanarama National League North,1,51,85.0,23.0,72.0,9.07,6.29,2.05,72.0,85.0,1.48,0.0,1.48,0.11,1.76,42%
29151021,Cameron Salkeld,"WB (R), M/AM (RL), ST (C)",25,"6'0""",0,475,,30/6/2024,1106,Darlington,Vanarama National League North,1,49,85.0,39.0,78.0,14.12,10.17,5.21,78.0,85.0,2.08,0.0,2.08,0.2,0.49,17%
215477,Alex Babos,"DM, M/AM (C)",25,"5'9""",0,475,,30/6/2024,3341,Hereford,Vanarama National League North,1,50,84.0,21.0,72.0,10.8,6.33,1.89,72.0,84.0,1.8,0.0,1.8,0.15,1.10,54%
29223278,Kieran Coates,D/WB (R),22,"5'10""",850,300,,30/6/2024,3908,Chester,Vanarama National League North,1,47,81.0,59.0,74.0,18.84,14.95,5.62,74.0,81.0,3.0,0.009999999999999995,3.0,0.17,0.62,33%
29139669,Dan Turner,"AM (RL), ST (C)",25,"5'11""","1,100",475,,30/6/2024,1582,Brackley,Vanarama National League North,1,45,88.0,10.0,72.0,8.27,5.23,1.88,72.0,88.0,1.75,0.0,1.75,0.12,1.65,41%
61064263,Michael Kelly,D (L),26,"5'11""",0,"1,200",,30/6/2025,2016,Scunthorpe,Vanarama National League North,1,64,84.0,80.0,72.0,15.93,15.85,7.54,72.0,84.0,0.96,0.04,0.96,0.1,0.89,25%
57149460,Moses Makinde,D (L),31,"6'1""",0,600,,30/6/2025,1727,South Shields,Vanarama National League North,1,50,85.0,77.0,77.0,12.92,15.43,9.07,77.0,85.0,1.04,0.0,1.04,0.04,0.63,17%
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84.0,77.0,83.0,11.05,14.0,7.32,83.0,84.0,0.93,0.010000000000000002,0.93,0.13,0.58,45%
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81.0,75.0,82.0,13.96,15.71,7.29,82.0,81.0,0.8,0.0,0.8,0.1,1.24,38%
2000053510,Jay Haddow,D/WB (R),20,"6'1""",0,575,,30/6/2025,2731,Southport,Vanarama National League North,1,50,79.0,74.0,77.0,13.87,14.47,3.43,77.0,79.0,1.22,0.03,1.22,0.17,0.53,13%
