UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Pr passes/90,xA/90,Tck/90,Hdrs W/90,Hdr %
29151021,Cameron Salkeld,"WB (R), M/AM (RL), ST (C)",25,"6'0""",0,475,,30/6/2024,1106,Darlington,Vanarama National League North,1,49,85%,39.0,78.0,14.4,10.17,5.21,78.0,5.21,0.2,2.85,2.20,39.0
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82%,74.0,78.0,20.57,14.61,5.88,78.0,5.88,0.23,1.74,5.88,74.0
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84%,71.0,82.0,16.07,11.62,8.21,82.0,8.21,0.18,2.31,3.47,71.0
29128504,Jack Doyle,D (L),27,"5'10""",0,475,,30/6/2024,4393,Southport,Vanarama National League North,1,50,78%,69.0,83.0,14.57,13.95,4.92,83.0,4.92,0.22,3.07,3.63,69.0
28047459,Alex Whittle,D (L),31,"5'8""",0,550,,30/6/2026,2261,Yeovil,Vanarama National League South,1,50,85%,67.0,79.0,12.22,13.33,5.89,79.0,5.89,0.18,2.19,4.02,67.0
28105657,Owen Gallacher,D/WB (L),25,"5'9""",0,350,,30/6/2024,4098,Spennymoor,Vanarama National League North,1,46,84%,63.0,86.0,12.3,13.97,5.16,86.0,5.16,0.19,2.28,3.93,63.0
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89%,63.0,74.0,10.86,7.97,5.27,74.0,5.27,0.18,1.4,2.56,63.0
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84%,60.0,88.0,9.73,20.81,5.41,88.0,5.41,0.22,2.01,4.43,60.0
5109673,Martin Woods,M (C),38,"5'9""",0,400,,30/6/2024,2678,Boston Utd,Vanarama National League North,1,58,84%,60.0,88.0,10.75,7.09,5.81,88.0,5.81,0.28,2.02,3.36,60.0
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85%,59.0,84.0,18.96,13.2,7.68,84.0,7.68,0.27,1.8,3.22,59.0
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82%,57.0,83.0,14.8,13.96,5.9,83.0,5.9,0.21,2.61,3.17,57.0
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88%,54.0,83.0,12.9,13.1,7.51,83.0,7.51,0.18,2.13,3.29,54.0
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84%,54.0,77.0,11.72,12.81,5.26,77.0,5.26,0.19,2.27,2.86,54.0
2000144017,Marshall Burke,"DM, M (C)",19,"6'0""",0,575,,30/6/2025,4021,South Shields,Vanarama National League North,1,50,88%,48.0,76.0,11.57,6.36,5.22,76.0,5.22,0.3,1.16,2.19,48.0
29235189,Keziah Martin,M (C),24,"5'10""",0,425,,30/6/2025,1621,Boston Utd,Vanarama National League North,1,58,87%,47.0,77.0,9.88,8.44,8.0,77.0,8.0,0.22,1.89,2.39,47.0
29005420,Jacob Butterfield,"DM, M (C)",33,"5'11""",0,"1,400",,30/6/2024,2910,Scunthorpe,Vanarama National League North,1,64,88%,40.0,63.0,9.03,6.87,5.63,63.0,5.63,0.21,1.33,1.11,40.0
5124487,Nicky Deverdics,M (C),36,"6'0""",0,250,,30/6/2025,4388,Blyth,Vanarama National League North,1,64,88%,40.0,87.0,11.96,5.85,8.88,87.0,8.88,0.2,1.11,1.09,40.0
29194266,Alfie Bates,"DM, M (C)",23,"5'7""",0,825,,30/6/2024,4233,Brackley,Vanarama National League North,1,45,85%,37.0,76.0,10.76,8.19,5.02,76.0,5.02,0.23,1.98,1.42,37.0
28110963,Jordan Hickey,M (C),24,"5'10""",0,400,,30/6/2024,3243,Blyth,Vanarama National League North,1,64,91%,26.0,81.0,9.69,6.3,5.36,81.0,5.36,0.18,1.69,0.94,26.0
28128052,Nathan Carlyon,DM,22,"5'10""",0,725,,30/6/2028,"2,492",AFC Fylde,Vanarama National League,2,50,88%,37.0,79.0,4.59,17.44,4.95,79.0,4.95,0.28,2.09,1.52,37.0
29217667,Will McGowan,"DM, M/AM (C)",22,"5'7""",0,500,Spirited,30/6/2026,"3,918",Blyth,Vanarama National League North,2,69,90%,28.0,83.0,10.47,6.96,7.28,83.0,7.28,0.18,1.70,0.78,28.0
29160404,Sam Fielding,"D (RC), DM, M (C)",26,"6'2""",0,275,Balanced,30/6/2025,"2,535",Spennymoor,Vanarama National League North,2,44,88%,57.0,71.0,8.17,9.73,5.11,71.0,5.11,0.18,1.85,2.45,57.0
